Name,Region,District,Record,In_State_Record,Rating
Newport Central Catholic,9,36,30-6,29-5,91.08
Scott County,8,32,29-4,25-3,90.04
Russellville,4,13,28-5,27-3,88.99
Male,7,25,27-8,26-6,86.73
Pleasure Ridge Park,6,22,28-5,26-4,86.67
Elizabethtown,5,17,30-5,30-5,86.32
Iroquois,6,24,27-3,26-3,85.89
Lexington Catholic,11,42,29-5,24-3,85
Lafayette,11,43,24-5,22-5,83.38
Ballard,7,28,24-4,18-2,82.66
Marion County,5,20,27-4,27-4,82.45
Corbin,13,50,29-3,29-2,80.49
Madisonville-North Hopkins,2,7,20-5,19-3,79.57
Muhlenberg North,3,10,24-7,23-6,79.46
Fairdale,6,23,21-8,20-6,79.2
Bowling Green,4,14,25-5,25-4,78.66
Owensboro Catholic,3,9,23-6,23-5,78.57
Graves County,1,3,25-3,20-2,77.08
Johnson Central,15,57,26-7,26-7,76.33
Madison Central,11,44,24-8,23-8,76.23
South Floyd,15,58,25-6,25-6,75.69
Simon Kenton,9,33,21-8,21-8,74.88
Perry County Central,14,54,25-9,25-8,74.8
Hopkins County Central,2,7,26-6,25-6,74.25
Shelby County,8,30,22-9,22-9,74.08
Owsley County,14,56,24-6,24-5,73.8
Paducah Tilghman,1,2,21-6,19-5,73.68
St. Mary,1,3,24-7,21-7,73.58
Holmes,9,35,21-9,20-9,73.28
Williamsburg,13,50,23-4,19-3,73.11
Bryan Station,11,43,18-8,18-8,71.56
Highlands,9,36,21-9,20-9,71.42
DuPont Manual,7,25,20-10,20-10,71.17
Oldham County,8,31,20-6,18-5,70.11
Boyd County,16,64,22-8,21-8,70.03
Paul Laurence Dunbar,11,43,19-11,19-11,69.89
Covington Catholic,9,35,18-9,17-8,69.49
Pikeville,15,59,21-8,19-7,69.21
Nelson County,5,19,21-9,21-9,69.16
South Laurel,12,48,18-9,16-6,68.91
Shelby Valley,15,59,24-6,21-6,68.35
Harlan,13,52,22-8,22-8,67.71
Warren Central,4,14,20-9,19-9,67.4
Paintsville,15,57,18-9,14-6,67.24
George Rogers Clark,10,40,20-9,20-9,66.96
Christian County,2,8,19-8,14-6,66.7
Campbell County,10,38,20-10,20-10,66.21
St. Patrick,10,39,20-9,19-9,66.17
Glasgow,4,15,22-8,21-8,65.82
Wayne County,12,47,21-9,19-9,65.48
Daviess County,3,9,17-8,16-8,65.23
Ohio County,3,12,18-9,17-9,65.19
Greenwood,4,14,19-9,17-8,64.98
Franklin County,11,41,18-9,18-9,64.89
Dixie Heights,9,34,16-8,16-8,64.79
Whitefield Academy,7,27,22-7,18-6,64.73
Bishop Brossart,10,38,20-13,20-13,64.53
Clay County,13,49,21-9,20-9,64.48
Henry Clay,11,43,16-10,15-9,63.86
Meade County,5,17,18-10,18-9,63.67
