Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Collins,North Laurel,12/02/19,19,Neutral,2,78,59,55,188,0
OUT_STATE,Community Christian (Paducah),12/02/19,1,Community Christian (Paducah),0,55,54,0,56,0
Anderson County,Thomas Nelson,12/02/19,15,Thomas Nelson,0,52,37,3,244,0
Barbourville,Harlan,12/02/19,7,Barbourville,1,66,59,10,111,0
Betsy Layne,Pike County Central,12/02/19,13,Betsy Layne,1,68,55,21,204,0
Boyle County,Danville Christian,12/02/19,36,Boyle County,1,87,51,27,66,0
Bullitt Central,Taylor County,12/02/19,0.5,Taylor County,0,86,81,34,243,0
Calvary Christian,OUT_STATE,12/02/19,34,Calvary Christian,1,73,39,41,0,0
Caverna,Fort Knox,12/02/19,8,Caverna,1,67,59,47,90,0
Clay County,Oneida Baptist Institute,12/02/19,22,Clay County,1,79,57,53,192,0
Clinton County,Casey County,12/02/19,10,Casey County,0,56,46,54,46,0
Danville,McCreary Central,12/02/19,28,McCreary Central,0,88,60,65,168,0
DuPont Manual,Portland Christian,12/02/19,50,Portland Christian,0,102,52,73,208,0
East Jessamine,Sayre,12/02/19,33,East Jessamine,1,78,45,75,222,0
Glasgow,Monroe County,12/02/19,6,Monroe County,0,51,45,102,176,0
Grant County,Trimble County,12/02/19,51,Grant County,1,87,36,103,247,0
Graves County,Livingston Central,12/02/19,37,Graves County,1,62,25,104,150,0
Hickman County,OUT_STATE,12/02/19,3,OUT_STATE,0,50,47,120,0,0
Holmes,Gallatin County,12/02/19,3,Holmes,1,85,82,123,99,0
Holy Cross (Louisville),St. Francis,12/02/19,40,Holy Cross (Louisville),1,75,35,125,237,0
Jackson City,June Buchanan,12/02/19,42,Jackson City,1,82,40,129,135,0
Kentucky Country Day,Brown,12/02/19,49,Kentucky Country Day,1,81,32,136,31,0
Magoffin County,Floyd Central,12/02/19,11,Floyd Central,0,67,56,160,88,0
Marshall County,Dawson Springs,12/02/19,35,Marshall County,1,90,55,163,68,0
Murray,University Heights,12/02/19,12,Murray,1,89,77,181,251,0
Newport,Bishop Brossart,12/02/19,16,Newport,1,58,42,183,22,0
Newport Central Catholic,Walton-Verona,12/02/19,20,Newport Central Catholic,1,67,47,184,256,0
Pendleton County,Williamstown,12/02/19,17,Pendleton County,1,74,57,201,269,0
Pikeville,Phelps,12/02/19,5,Phelps,0,54,49,205,203,0
Russellville,OUT_STATE,12/02/19,12,Russellville,1,57,45,220,0,0
Shelby Valley,Jenkins,12/02/19,62,Shelby Valley,1,87,25,228,132,0
Simon Kenton,Bellevue,12/02/19,54,Bellevue,0,79,25,229,17,0
South Oldham,Louisville Collegiate,12/02/19,38,Louisville Collegiate,0,75,37,232,153,0
Todd County Central,Hopkins County Central,12/02/19,19,Todd County Central,1,62,43,245,126,0
Trinity (Whitesville),Frederick Fraize,12/02/19,25,Trinity (Whitesville),1,81,56,249,96,0
Villa Madonna,Covington Latin,12/02/19,60,Villa Madonna,1,77,17,253,62,0
Washington County,Adair County,12/02/19,11,Washington County,1,80,69,259,1,0
Western,Eminence,12/02/19,51,Eminence,0,89,38,264,81,0
Woodford County,Paul Laurence Dunbar,12/02/19,16,Paul Laurence Dunbar,0,62,46,271,200,0
Adair County,Cumberland County,12/03/19,12,Adair County,1,69,57,1,64,0
Anderson County,Henry County,12/03/19,23,Henry County,0,63,40,3,118,0
Ashland Blazer,Lewis County,12/03/19,32,Ashland Blazer,1,78,46,5,146,0
Bardstown,Marion County,12/03/19,6,Marion County,0,57,51,11,162,0
Barren County,Green County,12/03/19,38,Barren County,1,85,47,12,107,0
Beechwood,Boone County,12/03/19,26,Boone County,0,96,70,14,23,0
Berea,Frankfort Christian,12/03/19,65,Berea,1,83,18,18,92,0
Beth Haven,Highlands Latin      ,12/03/19,22,Beth Haven,1,67,45,19,122,0
Bethlehem,Hart County,12/03/19,33,Bethlehem,1,81,48,20,114,0
Bishop Brossart,Harrison County,12/03/19,29,Harrison County,0,65,36,22,113,0
Bourbon County,Fleming County,12/03/19,19,Fleming County,0,69,50,24,87,0
Breckinridge County,Edmonson County,12/03/19,22,Edmonson County,0,77,55,30,78,0
Buckhorn,Lee County,12/03/19,37,Lee County,0,83,46,33,143,0
Bullitt East,Scott County,12/03/19,11,Bullitt East,1,80,69,35,224,0
Butler,Bullitt Central,12/03/19,34,Butler,1,86,52,37,34,0
Central Hardin,Nelson County,12/03/19,17,Nelson County,0,63,46,49,182,0
Christian County,Henderson County,12/03/19,13,Christian County,1,66,53,51,116,0
Clay County,Corbin,12/03/19,17,Clay County,1,91,74,53,59,0
Crittenden County,Ballard Memorial,12/03/19,26,Ballard Memorial,0,71,45,63,9,0
Danville Christian,Burgin,12/03/19,9,Danville Christian,1,58,49,66,36,0
