Name,teamID,Record,Rating,Region,District,Wins,Losses,GamesPlayed,inState
Male,161,31-4,92.14,7,26,31,4,35,28-2
Covington Catholic,61,29-5,88.03,9,35,29,5,34,23-2
Ballard,8,28-7,85.29,7,28,28,7,35,22-5
John Hardin,133,30-4,83.79,5,17,30,4,34,29-4
Fern Creek,86,28-6,83.62,6,24,28,6,34,28-5
Lexington Catholic,147,31-3,83.55,11,43,31,3,34,31-3
Madisonville-North Hopkins,159,31-3,82.82,2,7,31,3,34,30-3
Ashland Blazer,5,33-0,82.24,16,64,33,0,33,29-0
Henry Clay,117,24-6,81.78,11,42,24,6,30,23-4
Oldham County,191,30-4,81.18,8,29,30,4,34,28-3
Collins,55,27-7,81.16,8,30,27,7,34,26-7
Elizabethtown,79,27-3,80.82,5,17,27,3,30,27-3
McCracken County,167,30-5,80.33,1,2,30,5,35,27-4
Warren Central,257,26-7,77.24,4,14,26,7,33,25-7
Highlands,121,28-4,76.07,9,36,28,4,32,26-4
St. Henry,238,25-5,75.9,9,34,25,5,30,25-5
Conner,57,23-6,75.53,9,33,23,6,29,21-4
Bowling Green,25,26-8,74.19,4,14,26,8,34,25-8
George Rogers Clark,101,28-7,74.03,10,40,28,7,35,28-7
Jeffersontown,131,21-9,73.91,6,24,21,9,30,20-7
Bourbon County,24,24-6,72.87,10,40,24,6,30,24-6
Marshall County,163,23-11,72.54,1,4,23,11,34,19-6
Logan County,152,28-4,72.43,4,13,28,4,32,28-4
South Oldham,232,23-10,72.42,8,29,23,10,33,23-9
South Laurel,231,28-5,72.37,13,50,28,5,33,27-5
Hazard,115,29-5,72.28,14,54,29,5,34,27-3
Eastern,77,22-11,71.96,7,28,22,11,33,22-11
Butler,37,19-10,71.09,6,22,19,10,29,19-10
Bardstown,11,25-9,70.48,5,19,25,9,34,25-9
Pleasure Ridge Park,207,21-10,70.08,6,21,21,10,31,20-10
Lincoln County,149,25-8,69.87,12,45,25,8,33,25-8
Simon Kenton,229,22-10,69.61,8,32,22,10,32,22-10
Pulaski County,211,25-7,68.85,12,47,25,7,32,22-6
Seneca,225,21-10,68.43,7,27,21,10,31,21-10
Marion County,162,22-8,68.09,5,20,22,8,30,22-7
Rowan County,217,26-8,67.72,16,61,26,8,34,23-7
West Jessamine,263,21-11,67.42,12,46,21,11,32,21-11
St. Xavier,241,19-12,66.75,7,26,19,12,31,17-11
Knox Central,139,25-8,66.63,13,51,25,8,33,23-8
Trinity (Louisville),248,18-15,66.58,7,27,18,15,33,15-13
Martin County,164,22-12,66.57,15,57,22,12,34,21-11
Spencer County,236,21-8,65.98,8,30,21,8,29,21-8
Murray,181,23-7,65.89,1,4,23,7,30,20-6
Somerset,230,26-6,65.88,12,47,26,6,32,23-6
Webster County,261,27-6,65.42,2,6,27,6,33,23-5
Waggener,254,17-11,65.22,7,27,17,11,28,17-11
DeSales,70,16-11,65.15,6,22,16,11,27,14-9
Beechwood,14,21-12,64.97,9,35,21,12,33,19-12
Frederick Douglass,95,21-12,64.88,11,42,21,12,33,21-12
Scott County,224,19-16,64.78,11,42,19,16,35,17-16
North Laurel,188,22-10,64.75,13,49,22,10,32,20-8
Lafayette,140,21-9,64.73,11,43,21,9,30,20-8
Owensboro,194,21-11,64.51,3,9,21,11,32,20-10
North Bullitt,186,25-9,64.22,6,23,25,9,34,22-9
Clay County,53,23-10,64.05,13,49,23,10,33,21-10
Montgomery County,177,22-13,63.79,10,40,22,13,35,22-13
Tates Creek,242,17-14,63.77,11,43,17,14,31,17-14
