date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region
2000-11-16,June Buchanan,Letcher,73,37,2,,0,0
2000-11-16,Oneida Baptist Institute,Cordia,64,57,1,Three Rivers Conference Tournament,0,0
2000-11-16,Red Bird,Riverside Christian,117,66,1,Three Riviers Conference Tournament,0,0
2000-11-17,Buckhorn,Riverside Christian,93,62,0,,0,0
2000-11-17,Clinton County,Spencer County,73,67,1,,0,0
2000-11-17,Cumberland County,Feds Creek,59,42,1,,0,0
2000-11-17,June Buchanan,Cordia,61,47,0,Three Rivers Conference Tournament,0,0
2000-11-17,Oneida Baptist Institute,Letcher,82,43,0,,0,0
2000-11-17,Red Bird,Piarist School,85,50,1,Three Riviers Conference Tournament,0,0
2000-11-18,Christian Fellowship,Providence,65,62,0,,0,0
2000-11-18,Clinton County,Feds Creek,66,55,1,,0,0
2000-11-18,Cordia,Letcher,60,43,2,Three Rivers Conference Tournament,0,0
2000-11-18,Cumberland County,Spencer County,63,61,1,,0,0
2000-11-18,Jackson City,Brown,61,42,0,,0,0
2000-11-18,June Buchanan,Oneida Baptist Institute,69,47,0,,0,0
2000-11-20,Cordia,Riverside Christian,83,57,2,,0,0
2000-11-20,Letcher,Piarist School,74,53,2,,0,0
2000-11-20,Red Bird,Buckhorn,94,51,1,Three Riviers Conference Tournament,0,0
2000-11-21,Carlisle County,St. Mary,89,79,0,(overtime),1,0
2000-11-21,Clinton County,Cumberland County,84,67,1,,0,0
2000-11-21,June Buchanan,Red Bird,66,51,2,Three Rivers Conference Tournament(championship),0,0
2000-11-21,Oneida Baptist Institute,Buckhorn,83,44,1,Three Rivers Conference Tournament(3rd place),0,0
2000-11-21,Providence,Dawson Springs,69,56,1,,0,0
2000-11-22,Owsley County,Letcher,92,47,0,,0,0
2000-11-24,Wolfe County,Menifee County,82,53,0,,0,0
2000-11-25,Providence,Christian Fellowship,61,56,1,Tress and Trend Tournament,0,0
2000-11-27,Barbourville,Cumberland,68,56,1,,0,0
2000-11-27,Lone Oak,Christian Fellowship,80,58,0,,0,0
2000-11-27,Red Bird,All Saints,80,65,0,,0,0
2000-11-27,Whitley County,Lynn Camp,68,53,2,Union Bank Classic,0,0
2000-11-28,Anderson County,Trimble County,68,54,0,,0,0
2000-11-28,Apollo,Muhlenberg South,66,65,0,,0,0
2000-11-28,Atherton,Southern,76,37,1,,0,0
2000-11-28,Augusta,Deming,80,65,0,,0,0
2000-11-28,Bardstown,North Bullitt,102,64,1,,0,0
2000-11-28,Bethlehem,Bullitt Central,58,53,1,,0,0
2000-11-28,Bishop Brossart,Fleming County,74,61,1,,0,0
2000-11-28,Bourbon County,Millersburg Military,81,16,1,,0,0
2000-11-28,Boyd County,Menifee County,89,57,0,,0,0
2000-11-28,Breckinridge County,Central Hardin,54,52,1,,0,0
2000-11-28,Campbellsville,Green County,73,52,0,,0,0
2000-11-28,Carlisle County,Christian Fellowship,97,43,1,,0,0
2000-11-28,Carroll County,Louisville Collegiate,73,53,1,,0,0
2000-11-28,Caverna,Fort Knox,64,62,0,,0,0
2000-11-28,Cawood,Pineville,78,40,2,Middlesboro Invitational Tournament,0,0
2000-11-28,Clay County,North Laurel,80,78,1,,0,0
2000-11-28,Clinton County,Metcalfe County,87,84,0,,0,0
2000-11-28,Conner,Ludlow,81,52,0,,0,0
