name,region,rating,wins,losses,massey,colley,elo
Eastern,7,104.73,33,3,79.32,112.36,122.49
George Rogers Clark,10,97.73,30,6,73.27,105.22,114.7
Ballard,7,97.19,29,4,76.06,103.81,111.7
Lexington Catholic,11,94.96,27,8,73.62,100.88,110.39
Christian County,2,94.45,25,9,70.71,95.85,116.79
Warren Central,4,94.01,26,8,71.17,100.82,110.03
Tates Creek,11,92.67,24,5,71.52,101.17,105.33
Scott County,11,91.72,23,6,73.72,98.49,102.96
Trinity (Louisville),7,90.59,21,4,73.16,99.03,99.57
Bullitt East,6,88.54,30,6,68.64,90.58,106.39
Dixie Heights,9,86.74,29,4,66.32,90.99,102.9
Bowling Green,4,86.35,25,8,68.04,92.82,98.2
Rowan County,16,85.72,30,6,64.64,84.63,107.89
Jeffersontown,7,84.52,25,7,72.25,92.35,88.97
Madison Central,11,82.48,22,10,65.46,87.23,94.75
Newport Central Catholic,9,81.58,26,7,65.53,82.1,97.11
Moore,7,81.55,23,7,69.77,87.07,87.8
Wayne County,12,81.1,31,5,64.28,84.25,94.76
Henry Clay,11,80.52,20,11,67.35,89.68,84.53
Daviess County,3,80.45,26,5,63.8,84.2,93.36
Paducah Tilghman,1,79.28,27,5,63.29,81.09,93.47
Marshall County,1,78.73,28,7,64.51,77.09,94.6
Muhlenberg County,3,77.61,24,6,64.7,82.62,85.5
Perry County Central,14,77.37,25,6,61.91,79.02,91.16
Ashland Blazer,16,77.27,24,7,64.89,77.92,88.99
Holmes,9,75.03,21,11,63.4,79.34,82.33
Pleasure Ridge Park,6,74.47,21,9,68.89,72.07,82.45
Oldham County,8,74.3,25,8,60.52,76.64,85.73
Pulaski County,12,74.15,26,7,65.13,78.93,78.39
Mercer County,12,73.82,22,9,61.66,77.26,82.53
Bardstown,5,73.59,24,5,61.25,71.12,88.39
John Hardin,5,72.65,22,4,63.43,76.89,77.63
Mason County,10,72.37,19,13,63.95,75.62,77.55
Corbin,13,72.35,24,7,56.87,74.22,85.95
Lexington Christian,11,72.27,17,10,61.9,78.48,76.41
Bell County,13,72.13,22,9,58.62,70.32,87.44
Western,6,71.97,17,12,66.1,76.73,73.07
Fern Creek,7,71.88,19,11,66.14,78.16,71.36
Henderson County,2,71.6,20,6,62.7,77.9,74.19
Scott,10,71.31,19,10,59.52,70.51,83.91
Ryle,9,70.77,20,13,62.17,68.78,81.35
East Jessamine,12,70.7,22,8,59.76,75.18,77.14
Seneca,7,70.62,17,12,65.19,78.53,68.13
Betsy Layne,15,70.17,25,7,56.5,71.13,82.89
Graves County,1,70.09,23,8,61.42,69.97,78.89
Glasgow,4,69.64,18,8,65.47,71.93,71.52
Boone County,9,69.44,21,11,63.08,73.39,71.84
Covington Catholic,9,69.07,18,12,62.85,76.5,67.86
South Warren,4,68.96,19,9,59.27,70.13,77.47
Franklin-Simpson,4,68.4,21,9,59.26,71.33,74.6
South Oldham,8,68.37,19,7,62.6,73.1,69.42
Woodford County,11,68.36,20,10,59.81,71.23,74.03
Clay County,13,68.25,22,10,58.57,71.32,74.87
Iroquois,6,67.4,19,10,64.03,70.24,67.94
St. Xavier,7,67.33,16,11,63.91,71.27,66.82
Spencer County,8,67.27,25,7,56.35,69.96,75.5
Madisonville-North Hopkins,2,66.65,17,8,56.65,66.51,76.77
Central,6,66.62,15,10,64.05,67.82,68
Russellville,4,66.44,19,11,57.71,69.55,72.06
University Heights,2,65.97,18,9,60.23,66.91,70.77
Elizabethtown,5,65.91,16,13,60.18,63.78,73.77
Bryan Station,11,65.3,14,14,62.36,70.85,62.68
Holy Cross (Covington),9,64.86,15,8,58.08,67.9,68.6
Male,7,64.72,12,15,63.02,67,64.16
Danville,12,64.45,19,10,58.06,65.99,69.3
Pikeville,15,64.25,22,8,53.49,64.16,75.12
DuPont Manual,7,64.04,13,13,61.33,69.97,60.81
Hopkinsville,2,63.61,16,7,57.3,67.84,65.68
Butler,6,63.51,16,14,63.26,62.15,65.13
Clinton County,4,63.34,22,7,55.93,63.04,71.07
West Carter,16,63.03,21,9,58.96,64,66.13
Campbell County,10,62.53,18,11,58.27,64.12,65.2
Frankfort,11,62.34,21,9,58.58,63.07,65.36
Lafayette,11,62.19,9,19,60.96,60.42,65.19
North Hardin,5,61.92,17,12,59.96,62.64,63.15
Knott County Central,14,61.85,19,10,54.77,61.38,69.41
DeSales,6,61.37,14,16,61.04,61.56,61.51
Elliott County,16,61.07,17,10,58,61.9,63.29
Franklin County,11,60.5,13,15,60.61,63.7,57.2
Buckhorn,14,60.45,19,7,54.55,63.85,62.96
Fulton County,1,60.05,24,5,54.47,59.97,65.7
Johnson Central,15,59.61,20,7,54.66,56.29,67.88
Knox Central,13,59.57,17,13,55.87,57.25,65.6
Sayre,11,59.23,15,10,55.27,62.26,60.16
Breckinridge County,3,58.91,19,7,55.62,58.32,62.78
Owensboro,3,58.01,15,14,58.04,58.44,57.56
Whitley County,13,57.67,18,10,54.87,58.8,59.35
Harlan County,13,56.36,20,10,52.84,56.43,59.83
North Oldham,8,56.21,15,17,58.19,59.41,51.03
Highlands,9,56.17,14,16,55.37,55.15,57.99
Campbellsville,5,56.03,18,9,55.64,55.47,56.97
Collins,8,55.76,18,12,56.22,56.98,54.08
Montgomery County,10,55.44,15,15,58.68,56.65,51.01
Heath,1,55.43,20,11,52.55,56.14,57.61
Bishop Brossart,10,55.3,15,11,56.96,54.13,54.8
Lincoln County,12,55.29,15,16,59.69,57.17,49.02
Letcher County Central,14,55.26,21,12,51.19,53.06,61.53
Ballard Memorial,1,55.15,19,10,52.34,53.41,59.69
West Jessamine,12,55.13,11,18,60.6,54.13,50.64
Monroe County,4,54.34,17,12,54.86,52.99,55.18
Hazard,14,54.15,16,12,53.31,56.3,52.85
Barbourville,13,54.11,22,8,52.81,53.04,56.48
Simon Kenton,8,53.93,16,14,58.8,55.71,47.27
Paul Laurence Dunbar,11,53.88,10,19,57.67,55.43,48.54
Southwestern,12,53.84,16,17,56.55,49.98,54.99
Webster County,2,53.79,13,9,53.85,54.32,53.22
Lewis County,16,53.74,18,14,51.82,50.76,58.64
Marion County,5,53.69,16,13,51.53,51.13,58.42
Central Hardin,5,53.58,13,12,56.11,53.47,51.16
Gallatin County,8,53.56,17,12,55.74,50.53,54.42
Ohio County,3,53.54,15,13,55.71,50.07,54.83
Pendleton County,10,53.32,15,18,53.44,44.94,61.57
Deming,10,53.08,20,10,53.99,53.52,51.75
Union County,2,52.87,14,14,52.09,52.26,54.26
North Laurel,13,52,15,16,52.52,49.72,53.78
Owen County,8,51.99,15,9,54.8,51.91,49.25
Metcalfe County,4,51.85,16,11,54.23,53.51,47.8
Grayson County,3,51.41,16,14,53.71,49.87,50.66
Russell County,4,51.15,17,12,56.12,54.79,42.54
Henry County,8,51.12,17,15,53.67,47.57,52.12
Christian Academy-Louisville,7,51.02,10,16,59.58,52.1,41.38
Madison Southern,11,50.63,13,16,55.35,51.12,45.4
Boyle County,12,50.55,12,14,54.23,52.53,44.88
Western Hills,11,50.45,12,16,54.78,49.55,47.03
Holy Cross (Louisville),6,50.17,15,12,51.84,49.26,49.42
Pike County Central,15,50.13,14,12,50.01,47.36,53.01
Russell,16,50.01,14,15,51.83,48.06,50.14
Fairdale,6,49.99,10,19,56.6,48.2,45.18
