name,region,id,rating,massey,colley,elo,wins,losses,games_played
Scott County,11,218,99.3,95.78,103.42,98.69,35,4,39
Ballard,7,9,98.35,100.86,100.75,93.46,29,6,24
Trinity (Louisville),7,245,98.06,97.12,100.63,96.44,31,6,33
Covington Catholic,9,61,96.81,93.15,98.6,98.68,33,2,24
Hopkinsville,2,120,93.2,92.73,93.38,93.49,31,3,29
Wayne County,12,257,89.8,90.19,91.78,87.42,31,2,28
Newport Central Catholic,9,176,88.45,92.19,84.29,88.88,29,4,31
Pleasure Ridge Park,6,200,86.12,90.04,86.89,81.43,26,8,33
Lincoln County,12,142,85.39,86.16,85.72,84.28,26,6,32
Holmes,9,116,85.25,88.05,82.98,84.72,28,6,29
Warren Central,4,254,84.58,85.76,85.68,82.29,25,5,29
Bowling Green,4,26,84.44,83.76,81.87,87.69,29,7,36
Knott County Central,14,131,83.97,86.55,81.46,83.9,25,7,31
Montgomery County,10,169,83.59,83.01,83.78,83.98,29,3,32
Lafayette,11,134,83.28,91.08,85.76,72.98,18,11,26
Perry County Central,14,194,81.75,84.75,83.75,76.75,22,8,24
Doss,6,71,81.4,87.4,82.07,74.72,22,8,30
Hazard,14,109,81.39,82.33,80.49,81.36,29,5,32
Bardstown,5,12,80.94,81.7,79.05,82.07,27,7,34
Bullitt East,6,36,80.64,84.49,81.81,75.62,26,8,34
Johnson Central,15,127,80.53,83.05,78.06,80.47,26,7,31
Collins,8,55,80.49,79.6,82.61,79.27,25,5,30
Henry Clay,11,111,80.47,84.7,76.51,80.2,19,13,32
Southwestern,12,232,80.13,82.91,78.5,78.96,25,6,31
Henderson County,2,110,79.14,81.16,78.86,77.42,21,8,26
Elizabethtown,5,78,78.86,85.12,76.57,74.89,23,9,29
Lexington Catholic,11,140,78.69,82.53,79.36,74.17,20,11,29
South Oldham,8,229,77.78,80.83,75.81,76.68,22,5,27
Eastern,7,76,76.61,83.57,74.09,72.16,20,9,29
Apollo,3,5,76.24,79.95,77.84,70.95,20,6,23
Owensboro,3,186,76.19,80.15,74.43,73.99,21,11,30
McCracken County,1,159,76.12,74.45,74.62,79.28,25,9,28
Dixie Heights,9,70,75.95,79.28,72.85,75.74,24,8,29
Iroquois,6,121,75.51,85.4,75.78,65.35,20,8,23
DuPont Manual,7,72,75.07,84.46,72.42,68.32,20,11,31
Oldham County,8,183,74.91,76.85,74.8,73.08,23,7,27
Madison Central,11,150,74.9,77.81,72.97,73.93,22,11,32
Mason County,10,157,74.43,77.5,73.41,72.38,21,6,23
Taylor County,5,240,74.39,80.66,71.71,70.79,27,6,29
Boyle County,12,28,73.66,78.7,72.14,70.14,18,10,28
St. Xavier,7,238,73.43,81.28,72.87,66.15,21,9,28
Bishop Brossart,10,23,72.83,76.92,69.9,71.68,23,5,27
Western,6,261,72.76,81.1,71.26,65.93,14,9,20
Graves County,1,99,72.74,75.28,70.66,72.29,27,5,22
Bryan Station,11,33,72.34,80.86,71.79,64.37,14,12,25
John Hardin,5,126,72.12,77.97,68.89,69.51,18,9,27
Clay County,13,53,71.83,76.76,67.96,70.77,23,9,29
DeSales,6,69,71.57,80.34,70.83,63.55,20,10,30
Fern Creek,6,85,71.49,80.35,68.93,65.19,19,12,30
Marshall County,1,156,71.22,70.7,69.57,73.39,23,11,28
Fleming County,16,86,70.88,73.74,66.07,72.81,24,10,32
Waggener,7,251,70.74,79.57,69.17,63.49,16,10,26
Breathitt County,14,30,70.05,70.36,69.94,69.87,26,7,29
Holy Cross (Louisville),6,118,69.49,75.02,68.22,65.23,21,8,29
Campbell County,10,43,69.21,72.73,66.3,68.6,21,9,28
Clinton County,4,54,69.18,72.65,66.15,68.75,22,8,28
West Jessamine,12,260,69,76.57,65.58,64.84,19,11,30
Male,7,154,67.82,77.26,60.83,65.38,17,16,32
Calloway County,1,41,66.77,71.29,69.24,59.78,19,9,20
Fairdale,6,83,66.72,77.48,63.46,59.22,12,19,25
