name,region,id,rating,massey,colley,elo,wins,losses,games_played
Scott County,11,217,102.42,105.82,102.94,98.51,35,4,32
Trinity (Louisville),7,243,99.03,100.66,98.28,98.15,30,8,34
Henry Clay,11,111,91.4,92.64,91.58,89.98,28,6,32
John Hardin,5,126,90.91,88.67,91.11,92.95,35,1,36
Campbell County,10,42,90.8,92.37,88.28,91.75,31,5,35
Covington Catholic,9,60,88.46,92.29,85.45,87.65,27,8,24
University Heights,2,246,88.26,86.62,89.67,88.48,30,5,30
Waggener,7,249,87.48,89.54,88.14,84.77,29,4,30
Ballard,7,8,86.11,85,88.92,84.42,23,12,29
Madisonville-North Hopkins,2,152,84.09,82.57,84.39,85.32,30,6,33
McCracken County,1,159,83.73,82.09,84.45,84.65,31,4,28
Beechwood,9,14,83.06,83.53,84.84,80.81,29,6,30
Frankfort,11,88,82.65,84.11,81.7,82.13,28,6,34
Walton-Verona,8,250,82.51,83.73,80.3,83.51,28,7,32
Bowling Green,4,25,81.93,85.4,82.41,77.98,26,6,32
Cooper,9,57,81.71,88.25,80.27,76.61,25,6,29
Knox Central,13,132,81.28,82,79.74,82.11,30,5,31
Butler,6,37,81.1,82.46,80.54,80.29,26,8,34
South Laurel,13,226,80.93,80.4,82.76,79.64,28,4,29
Madison Central,11,150,80.15,87.43,75.99,77.04,17,14,28
George Rogers Clark,10,96,80.07,84.22,76.62,79.38,26,8,33
Male,7,154,79.68,83.04,78.4,77.58,22,10,30
Mayfield,1,158,79.03,81.12,75.61,80.37,25,8,29
Warren Central,4,251,78.71,82.99,72.94,80.2,22,12,33
Lexington Christian,11,141,78.32,82.03,78.87,74.04,22,11,33
Collins,8,54,78.19,81.23,81.24,72.09,23,9,28
Elliott County,16,77,77.93,78.77,81.75,73.28,25,4,27
LaRue County,5,133,77.39,84.58,72.19,75.39,26,5,31
Pleasure Ridge Park,6,200,75.78,79.77,72.8,74.78,24,9,31
Woodford County,11,265,75.7,84.09,73.57,69.43,21,11,28
Lafayette,11,134,75.67,81.68,74.91,70.41,18,12,29
Owensboro,3,186,75.23,77.69,71.19,76.83,23,8,30
Newport,9,175,75.19,76.69,73.92,74.95,25,9,32
Danville,12,63,74.72,79.46,74.54,70.15,29,6,33
Graves County,1,99,73.95,79.17,72.57,70.1,22,10,23
Seneca,7,218,72.48,79.76,69.02,68.67,19,11,27
Lexington Catholic,11,140,72.33,81.57,68.95,66.47,14,16,25
Oldham County,8,183,72.29,78.87,70.03,67.97,20,14,34
Shelby Valley,15,221,72.14,75.18,70.64,70.6,28,6,33
St. Xavier,7,236,72,80.51,71.8,63.7,17,11,24
Clay County,13,52,71.89,72.68,74.35,68.63,22,7,26
Lincoln County,12,142,71.65,75.96,65.78,73.21,23,13,33
Johnson Central,15,127,71.63,74.08,69.85,70.97,27,8,31
Taylor County,5,238,71.6,74.01,69.09,71.69,23,8,31
Pikeville,15,198,71.32,75.67,66.12,72.16,23,9,29
Bullitt East,6,35,71.17,77.83,64.99,70.69,20,13,32
Breckinridge County,3,30,70.93,76.05,65.17,71.56,28,4,30
Wayne County,12,254,70.89,79.32,68.31,65.05,24,9,30
Scott,10,216,70.83,77.87,66.58,68.04,19,12,29
