Names,Elo
Adair County,1561.01474319684
Allen Central,1380.81642297521
Allen County-Scottsville,1478.57594758521
Anderson County,1608.6100009822
Apollo,1682.31936135709
Ashland Blazer,1604.90907192016
Atherton,1447.75557788796
Augusta,1614.41643509849
Ballard,1816.83866796948
Ballard Memorial,1386.42550247106
Barbourville,1503.90571400714
Bardstown,1758.57285562032
Barren County,1640.51685502485
Bath County,1354.22554972778
Beechwood,1449.76936730794
Belfry,1424.62073464032
Bell County,1600.18075061344
Bellevue,1476.8336374703
Berea,1354.30944830691
Beth Haven,1375.56046990102
Bethlehem,1492.7474261947
Betsy Layne,1626.77366813777
Bishop Brossart,1684.16855463001
Boone County,1577.2673087313
Bourbon County,1396.86182670181
Bowling Green,1795.3917689129
Boyd County,1592.82311646525
Boyle County,1673.73656243518
Bracken County,1451.25055577026
Breathitt County,1676.58452080221
Breckinridge County,1418.57334539427
Brown,1313.368384661
Bryan Station,1635.23404433189
Buckhorn,1638.24397158585
Bullitt Central,1581.4248975344
Bullitt East,1711.26231259577
Burgin,1249.35247457643
Butler,1576.28736100599
Butler County,1454.83089455092
Caldwell County,1518.3955763858
Calloway County,1600.4901674791
Calvary Christian,1280.10921606975
Campbell County,1663.79077815298
Campbellsville,1362.79315637331
Carlisle County,1481.67645822634
Carroll County,1459.01359337688
Casey County,1494.82726564108
Caverna,1437.46619712712
Central,1515.71976154518
Central Hardin,1578.94124861906
Christian Academy-Louisville,1588.68477435501
Christian County,1470.87370695299
Clay County,1680.40879925847
Clinton County,1664.7300619002
Collins,1737.90207083182
Community Christian (Paducah),1344.11309637537
Conner,1547.21678400085
Cooper,1595.25892983989
Corbin,1646.82292417096
Cordia,1336.56210343765
Covington Catholic,1871.10307417876
Covington Latin,1180.00172281542
Crittenden County,1380.22366809721
Cumberland County,1349.76137202474
Danville,1532.48562844846
Daviess County,1579.87428924621
Dawson Springs,1203.07325776451
Dayton,1327.78668770532
DeSales,1625.29570719247
Dixie Heights,1710.33382677291
Doss,1702.73459189722
DuPont Manual,1659.87088111646
East Carter,1558.67780457101
East Jessamine,1613.84166757558
East Ridge,1544.09353366638
Eastern,1683.01467461311
Edmonson County,1420.64017673065
Elizabethtown,1708.41661876287
Elliott County,1558.1228454589
Eminence,1425.07186849242
Estill County,1537.61873673541
Evangel Christian,1288.91869253863
Fairdale,1598.65710188161
Fairview,1300.56595713908
Fern Creek,1637.94175505983
Fleming County,1692.8928779788
Fort Campbell,1324.37493497704
Fort Knox,1484.27376993707
Frankfort,1354.61483809347
Franklin County,1544.20185133265
Franklin-Simpson,1470.20463381211
Fulton City,1309.02065668357
Fulton County,1387.50987677576
Gallatin County,1479.91199958556
Garrard County,1467.55764252649
George Rogers Clark,1482.58037951968
Glasgow,1524.1036730431
Grant County,1579.43576521269
Graves County,1686.70603241446
Grayson County,1444.73205246127
Green County,1568.91968855931
Greenup County,1515.79440110397
Greenwood,1516.73207658406
Hancock County,1492.00832329172
Harlan,1421.4287311994
Harlan County,1501.13418301115
Harrison County,1580.74956377485
Hart County,1401.87139406676
Hazard,1755.65303696894
Henderson County,1723.8040254769
Henry Clay,1742.2844382813
Henry County,1530.12690404009
Heritage Academy,1222.32356973259
Hickman County,1532.15241294634
Highlands,1528.99597623102
Holmes,1774.23600056707
Holy Cross (Covington),1492.72630853878
Holy Cross (Louisville),1657.65291597269
Hopkins County Central,1384.57427987238
Hopkinsville,1837.66511276469
Iroquois,1639.15994861962
Jackson City,1445.93236170964
Jackson County,1594.46140993981
Jeffersontown,1573.65580936922
Jenkins,1358.45785546232
John Hardin,1669.83715471918
Johnson Central,1746.32482209998
June Buchanan,1443.81955701854
Kentucky Country Day,1548.8999329665
Kentucky School f/t Deaf,1235.48402047984
Knott County Central,1767.94695600636
Knox Central,1629.31311915324
LaRue County,1531.3492274638
Lafayette,1694.6133151551
Lawrence County,1618.05633591454
Lee County,1392.68870056062
Leslie County,1538.39235857453
Letcher County Central,1578.88442582466
Lewis County,1554.59566320382
Lexington Catholic,1700.25468715275
Lexington Christian,1587.4703962046
Lincoln County,1771.90729166279
Livingston Central,1369.78189514136
Lloyd Memorial,1353.62001092285
Logan County,1461.76668810205
Louisville Collegiate,1420.38438552033
Ludlow,1534.01741281676
Lynn Camp,1354.20205656323
Lyon County,1341.45926707793
Madison Central,1700.7215437703
Madison Southern,1498.58934311171
Madisonville-North Hopkins,1599.40071695435
Magoffin County,1544.62201953657
Male,1638.53716672569
Marion County,1541.65270605674
Marshall County,1694.48286335051
Mason County,1689.93569912894
Mayfield,1540.51846176631
McCracken County,1735.85288927418
McCreary Central,1337.39296978652
McLean County,1521.17940963794
Meade County,1408.58455117436
Menifee County,1313.18397762495
Mercer County,1539.48855560154
Metcalfe County,1295.53795384907
Middlesboro,1469.98923170442
Model,1512.19930616186
Monroe County,1599.58239839356
Montgomery County,1769.57668911462
Moore,1420.61625372877
Morgan County,1448.83601843191
Muhlenberg County,1586.39632075266
