Name,Region,District,Record,In_State_Record,Rating
Adair County,5,20,13-16,13-16,37.72
Allen County-Scottsville,4,15,13-14,12-14,48.46
Anderson County,8,30,17-9,17-9,56.74
Apollo,3,9,5-22,5-18,35.97
Ashland Blazer,16,64,27-0,23-0,80.61
Atherton,7,27,11-15,11-15,43.73
Augusta,10,39,12-17,8-17,30.76
Ballard,7,28,23-5,17-4,81.38
Ballard Memorial,1,3,4-24,4-23,19.91
Barbourville,13,51,11-13,8-12,40.66
Bardstown,5,19,20-8,20-8,68.39
Barren County,4,15,20-8,20-7,62.36
Bath County,16,61,15-14,14-12,45.98
Beechwood,9,35,20-9,18-9,68.1
Belfry,15,60,9-15,8-14,36.88
Bell County,13,52,11-16,11-15,47.04
Bellevue,9,36,3-23,3-22,12.19
Berea,11,44,19-8,17-8,44.01
Beth Haven,6,21,9-15,8-14,23.79
Bethlehem,5,19,10-18,10-18,32.22
Betsy Layne,15,58,16-10,16-10,49.03
Bishop Brossart,10,37,22-5,22-5,64.69
Boone County,9,33,5-22,4-20,35.37
Bourbon County,10,40,23-5,23-5,74.22
Bowling Green,4,14,22-6,21-6,72.36
Boyd County,16,64,16-12,14-7,56.76
Boyle County,12,45,11-13,11-13,51.19
Bracken County,10,39,11-18,10-18,36.36
Breathitt County,14,55,12-14,11-14,44.77
Breckinridge County,3,11,17-9,17-8,54.48
Brown,7,26,4-23,4-21,21.85
Bryan Station,11,42,12-16,11-14,53.55
Buckhorn,14,54,15-15,13-14,39.36
Bullitt Central,6,23,9-19,9-19,43.43
Bullitt East,6,24,13-14,12-12,58.83
Burgin,12,46,4-25,4-24,10.26
Butler,6,22,17-8,17-8,71.86
Butler County,3,12,18-8,18-8,50.1
Caldwell County,2,7,14-14,14-12,51.78
Calloway County,1,4,16-12,13-11,58.42
Calvary Christian,10,37,14-14,13-12,42.19
Campbell County,10,37,14-14,12-14,53.01
Campbellsville,5,20,13-13,13-12,48.62
Carlisle County,1,1,18-9,17-9,52.58
Carroll County,8,31,10-17,10-17,36.02
Casey County,12,47,3-26,2-24,18.78
Caverna,5,18,5-21,5-21,18.91
Central,7,25,8-19,8-19,41.79
Central Hardin,5,17,13-13,12-11,56.99
Christian Academy-Louisville,7,28,10-16,10-15,48.18
Christian County,2,8,10-18,10-18,47.05
Christian Fellowship,1,4,16-11,11-10,31.05
Clay County,13,49,20-8,18-8,67.08
Clinton County,4,16,21-6,20-6,63.25
Collins,8,30,21-7,20-7,77.71
Community Christian (Paducah),1,2,1-28,0-24,4.81
Conner,9,33,19-5,17-3,76.46
Cooper,9,33,9-15,9-13,52.78
Corbin,13,50,15-11,11-9,53.85
Cordia,14,53,11-15,10-15,44.6
Covington Catholic,9,35,23-5,17-2,84.95
Covington Latin,9,35,0-16,0-13,-5.07
Crittenden County,2,5,15-14,13-12,43.31
Cumberland County,4,16,6-19,6-19,27.15
Danville,12,45,18-10,17-10,59.54
Danville Christian,12,45,15-12,12-11,29.21
Daviess County,3,9,7-20,7-19,33.67
Dawson Springs,2,7,12-17,11-17,33.63
Dayton,9,36,10-19,9-18,24.37
DeSales,6,22,16-9,14-7,70.8
Dixie Heights,9,34,8-19,8-18,47.33
Doss,6,22,16-10,13-9,61.56
DuPont Manual,7,25,13-11,13-11,57.69
East Carter,16,62,10-13,9-12,41.04
East Jessamine,12,46,18-9,17-9,62.3
East Ridge,15,59,10-14,10-12,42.33
Eastern,7,28,19-9,19-9,73.09
Edmonson County,3,12,11-13,11-13,39.74
Elizabethtown,5,17,22-2,22-2,81.28
Elliott County,16,62,8-13,8-11,40.5
Eminence,8,31,4-24,3-24,13.31
Estill County,14,56,20-9,18-9,51.38
Evangel Christian,6,23,3-17,3-17,6.69
Fairdale,6,21,13-12,12-11,55.7
Fairview,16,64,7-17,3-14,24.64
Fern Creek,6,24,22-6,22-5,81.92
Fleming County,16,61,10-19,9-19,31.56
Floyd Central,15,58,6-21,5-19,28.12
Fort Campbell,2,8,8-19,6-14,22.26
Fort Knox,5,17,8-16,7-16,31.24
Frankfort,11,41,15-14,15-11,52.5
Frankfort Christian,11,41,2-24,2-23,0.18
Franklin County,11,41,15-13,15-13,50.03
Franklin-Simpson,4,13,13-13,13-12,49.16
Frederick Douglass,11,42,17-10,17-10,60.81
Frederick Fraize,3,11,3-22,3-21,10.48
Fulton City,1,1,11-12,6-7,37.38
Fulton County,1,1,12-13,9-8,41.3
Gallatin County,8,31,15-13,14-13,50.61
Garrard County,12,45,9-17,6-17,35.3
George Rogers Clark,10,40,21-7,21-7,69.36
Glasgow,4,15,13-13,13-13,52.36
Grant County,8,32,19-9,17-8,63.04
Graves County,1,3,11-18,9-11,51.24
Grayson County,3,12,8-19,8-19,33.65
Great Crossing,11,41,14-15,13-15,50.69
Green County,5,18,5-18,5-17,26.89
Greenup County,16,63,20-9,12-7,52.3
Greenwood,4,14,16-13,15-12,56.48
Hancock County,3,11,10-15,9-12,37.63
Harlan,13,52,12-15,10-13,45.32
Harlan County,13,52,19-10,18-10,55.37
Harrison County,10,38,5-23,5-23,26.04
Hart County,5,18,12-14,12-14,39.19
Hazard,14,54,23-4,21-3,73.18
Henderson County,2,6,19-10,16-10,58.61
Henry Clay,11,42,23-5,22-3,83.5
Henry County,8,31,17-12,16-12,47.39
Heritage Academy,9,33,7-17,7-17,10.46
Hickman County,1,1,10-15,7-13,27.01
Highlands,9,36,23-3,21-3,78.52
Holmes,9,35,11-15,10-14,50.2
Holy Cross (Covington),9,35,14-11,14-11,60.96
Holy Cross (Louisville),6,21,15-11,11-10,46.84
Hopkins County Central,2,7,8-19,8-19,31.4
Hopkinsville,2,8,13-16,12-14,50.36
Iroquois,6,22,16-13,16-13,52.21
Jackson City,14,55,13-13,13-13,33.5
Jackson County,13,49,12-16,12-15,37.22
Jeffersontown,6,24,17-7,16-5,72.21
Jenkins,15,59,1-22,1-20,5.79
John Hardin,5,17,27-2,26-2,89.91
Johnson Central,15,57,16-10,15-8,57.59
June Buchanan,14,53,2-18,2-17,3.85
Kentucky Country Day,7,28,13-12,12-12,47.31
Kentucky School f/t Deaf,12,45,0-13,0-4,5.84
Knott County Central,14,53,17-9,17-9,57.37
Knox Central,13,51,19-7,17-7,63.49
Lafayette,11,43,18-7,17-6,66.86
LaRue County,5,18,9-20,8-20,47.37
Lawrence County,15,58,18-10,18-10,57.68
Lee County,14,56,6-22,4-22,9.41
Leslie County,14,54,12-15,12-15,37.18
Letcher County Central,14,53,6-19,5-19,21.43
Lewis County,16,63,13-15,13-15,47.27
Lexington Catholic,11,43,26-2,26-2,87.78
Lexington Christian,11,43,18-10,17-10,63.69
Lincoln County,12,45,22-7,22-7,73.88
Livingston Central,2,5,3-25,3-24,11.01
Lloyd Memorial,9,34,14-12,14-12,53.3
Logan County,4,13,24-3,24-3,77.78
Louisville Collegiate,7,26,19-6,19-6,68.66
Ludlow,9,34,17-11,16-10,48.73
Lynn Camp,13,51,13-13,8-12,36.47
Lyon County,2,5,19-9,19-8,59.2
Madison Central,11,44,12-16,12-16,54.47
Madison Southern,11,44,15-13,12-12,51.93
Madisonville-North Hopkins,2,7,25-3,24-3,86.03
Magoffin County,15,57,15-13,15-12,47.7
