Names,Elo
Danville,1717.74911012261
Somerset,1626.1508063004
Bardstown,1636.45459536333
Holy Cross (Louisville),1499.81105286083
Campbellsville,1551.47366109031
Trimble County,1479.67356311772
Harrodsburg,1550.41384305241
Christian Academy-Louisville,1446.9883643153
Frankfort,1421.87667701553
Carroll County,1428.89323701027
Metcalfe County,1340.68717770649
Beechwood,1675.32589830665
Bellevue,1628.8376464727
Nicholas County,1593.17601831373
Newport Central Catholic,1617.25106115938
Paris,1475.33542516335
Berea,1517.01898581417
Dayton,1456.47654578175
Fairview,1439.59073336207
Holy Cross (Covington),1424.67110157889
Raceland,1413.83273847888
Ludlow,1407.73859896449
Mayfield,1679.8903185975
Trigg County,1572.77264520659
Murray,1610.62069250419
Ballard Memorial,1536.20602375354
Hancock County,1577.13228483009
Crittenden County,1523.15893770086
Russellville,1495.92629705175
Fulton City,1387.75310923498
Todd County Central,1434.31956429379
Fulton County,1395.15791490777
Pikeville,1668.44817534454
Hazard,1572.60307835433
Paintsville,1593.93069468872
Fleming-Neon,1558.89115787621
Pineville,1505.18802911843
Harlan,1525.05179858471
Evarts,1474.96492523269
Cumberland,1443.29740911108
South Floyd,1494.85802755647
Williamsburg,1462.42021251411
Phelps,1452.32234944022
Lynn Camp,1479.39316929889
Elkhorn City,1386.66145879901
Boyle County,1766.87646655704
Lexington Catholic,1672.25552189783
Mason County,1604.40656639592
Russell,1570.73575075049
Mercer County,1562.72291860693
Lloyd Memorial,1515.33315574218
Fleming County,1517.83754618136
West Carter,1473.12516566783
West Jessamine,1496.77068754266
Henry County,1472.98826834605
Newport,1458.13663388935
Garrard County,1460.233334924
Owen County,1402.12483334777
Bath County,1368.16657959989
Glasgow,1667.76477437511
Reidland,1515.16085942052
Caldwell County,1541.63173405319
Webster County,1524.93148843054
Monroe County,1498.67871914751
Muhlenberg South,1465.67834578916
Edmonson County,1439.46811941512
McLean County,1417.83619047323
Hart County,1408.76779261123
Owensboro Catholic,1485.06788429945
Heath,1442.86604756955
Fort Campbell,1359.33835989685
Butler County,1334.45215390914
Green County,1637.06496815936
Corbin,1656.4215161697
LaRue County,1626.17797893093
Moore,1524.48764747629
Russell County,1544.54822741424
Washington County,1518.31805457797
Casey County,1494.51692557119
Elizabethtown,1490.95502083113
Shawnee,1408.63360920068
Wayne County,1484.10172762407
DeSales,1446.73755252767
Taylor County,1499.34363929264
Fort Knox,1404.36250942737
Western,1330.72681709817
Breathitt County,1623.88569571558
Middlesboro,1605.94314798225
Prestonsburg,1589.19885250314
Whitesburg,1512.01745899097
Belfry,1577.19113436045
Leslie County,1509.6213996562
Pike County Central,1487.03296111717
Shelby Valley,1490.2852735303
Powell County,1433.08439301452
Estill County,1413.82322958822
Betsy Layne,1340.4765469059
Morgan County,1368.44118783373
Highlands,1767.86762952762
Harrison County,1666.16955689417
Holmes,1592.05447219822
Franklin County,1554.38416291704
Bourbon County,1544.26917732936
Western Hills,1516.00798001388
Dixie Heights,1525.57352791865
Covington Catholic,1543.15535736079
Anderson County,1458.13188245836
Conner,1449.76793047579
Grant County,1437.15434517272
Scott,1367.11940272011
Montgomery County,1378.31955013902
Owensboro,1699.22134866841
Bowling Green,1625.21327511991
Paducah Tilghman,1603.20448533247
Warren Central,1595.6426434289
Calloway County,1558.34092191581
Franklin-Simpson,1569.43995845648
Hopkins County Central,1516.61823980446
Warren East,1449.72437253424
Union County,1532.39655919981
Lone Oak,1444.34593523352
Allen County-Scottsville,1524.24989642897
Muhlenberg North,1413.06917706127
Logan County,1402.60464281787
Breckinridge County,1597.9845724649
East Jessamine,1579.38662182436
Waggener,1618.85290581732
Southwestern,1591.59514624231
Lincoln County,1533.10677619491
North Bullitt,1443.56527966124
McCreary Central,1445.5642394345
Bullitt East,1522.74579605379
Central,1503.20001305051
Madison Southern,1457.66857388212
Pulaski County,1435.86021747492
Adair County,1379.93986132365
Atherton,1361.81079408683
Marion County,1378.82253729698
Valley,1360.54017127078
Rockcastle County,1683.32652110847
Sheldon Clark,1650.42843390213
Whitley County,1613.96600202976
Greenup County,1548.37628801222
Ashland Blazer,1565.85295961491
Bell County,1547.47897152016
Lawrence County,1564.64868162888
Cawood,1487.8396670443
Magoffin County,1452.33452810845
Rowan County,1415.06136113045
Knox Central,1392.67321162214
Knott County Central,1377.90923380258
East Carter,1356.04163887351
Male,1751.05125691323
St. Xavier,1701.09918769553
Oldham County,1617.39329813539
North Hardin,1618.48507200155
Meade County,1549.50810855004
DuPont Manual,1555.50252043859
South Oldham,1516.47150888906
Nelson County,1582.40072747811
Fairdale,1519.34207025095
Butler,1552.31708883189
Pleasure Ridge Park,1542.69388896448
Doss,1449.80193940601
Shelby County,1453.73632286061
Central Hardin,1474.41098069518
Bullitt Central,1416.83893077431
Trinity (Louisville),1698.33521338061
Henry Clay,1621.91199074754
Ryle,1582.41409544794
Bryan Station,1612.36425586162
