Names,Colley
Adair County,0.311180718646068
Allen Central,0.413121616857815
Allen County-Scottsville,0.536270297161517
Anderson County,0.835394871117123
Apollo,0.363113542353205
Ashland Blazer,0.816426046191873
Atherton,0.0598105992839454
Ballard,0.580851780782613
Ballard Memorial,0.247442122074309
Bardstown,0.694189168020865
Barren County,0.562487086271764
Bath County,0.312541498345991
Beechwood,0.822049418670059
Belfry,0.861334901852331
Bell County,0.832249815907184
Bellevue,0.570618326638669
Berea,0.260267567660761
Bethlehem,0.192786702686417
Betsy Layne,0.449279371860245
Bishop Brossart,0.25555972860737
Boone County,0.791431674193114
Bourbon County,0.634629367591753
Bowling Green,1.11623590728401
Boyd County,0.465032500120827
Boyle County,0.796151782587117
Bracken County,0.300656519842628
Breathitt County,0.807811897629466
Breckinridge County,0.159190582654559
Bryan Station,0.633109203320346
Bullitt Central,0.280674838488427
Bullitt East,0.278201848204552
Butler,0.784954576914472
Butler County,0.615694281034972
Caldwell County,0.497928842693407
Calloway County,0.290134274706877
Campbell County,0.514880864562901
Campbellsville,0.448571810064624
Carroll County,0.697593465646548
Casey County,0.377032777074085
Caverna,0.0790736449282696
Central,0.855957038767557
Central Hardin,0.574271046105047
Christian Academy-Louisville,0.664291538834486
Christian County,0.855516765774615
Clay County,0.29779321484106
Clinton County,0.0461315182675743
Collins,0.712349174777226
Conner,0.662299022622135
Cooper,0.61403883916661
Corbin,0.621259337380506
Covington Catholic,0.940736966424118
Crittenden County,0.324716092142462
Danville,0.761431465808948
Daviess County,0.288387890297558
Dayton,0.189034566509621
DeSales,0.525368820261658
Dixie Heights,0.510730097371506
Doss,0.235492248470983
DuPont Manual,0.885693383263477
East Carter,0.0510802569198925
East Jessamine,0.475290193496802
East Ridge,0.112310931429924
Eastern,0.773339929876242
Edmonson County,0.746705533110805
Elizabethtown,0.168612624032732
Eminence,0.516387408378288
Estill County,0.35780098215748
Fairdale,0.244640605987781
Fairview,0.740683918033841
Fern Creek,0.424352269484759
Fleming County,0.324650901433176
Fort Campbell,0.724040035826991
Fort Knox,0.240232195381055
Frankfort,0.543299555203573
Franklin County,0.857998760670042
Franklin-Simpson,0.875796791271775
Fulton City,0.113059137312371
Fulton County,0.243584126941157
Gallatin County,0.436149093943028
Garrard County,0.810424968259203
George Rogers Clark,0.425437075220629
Glasgow,0.875735635601394
Grant County,0.30221394265427
Graves County,0.485751562381957
Grayson County,0.445963359210944
Green County,0.652462937932613
Greenup County,0.164602619949216
Greenwood,0.669019733911918
Hancock County,0.539054367083936
Harlan,0.489046150478019
Harlan County,0.800112650771576
Harrison County,0.362267216568544
Hart County,0.417197646939337
Hazard,0.803283002684519
Heath,0.329603005341699
Henderson County,0.76350158798379
Henry Clay,0.446098043826171
Henry County,0.229191126873821
Highlands,1.0640466460986
Holmes,0.532190726742506
Holy Cross (Covington),0.865839094455019
Holy Cross (Louisville),0.760834259406121
Hopkins County Central,0.155857728627602
Hopkinsville,0.174957687388066
Iroquois,0.06240861885934
Jackson County,0.0586521762334166
Jeffersontown,0.737707760519196
Jenkins,0.052099822135473
John Hardin,0.97534717005383
Johnson Central,0.752073582739746
Kentucky Country Day,0.548722217045325
Knott County Central,-0.0645073888964493
Knox Central,0.592366274843718
LaRue County,0.511683270121298
Lafayette,0.698900358333613
Lawrence County,0.459600731287254
Leslie County,0.662879178246336
Letcher County Central,0.469761099293674
Lewis County,0.620242570494354
Lexington Catholic,0.906901022273886
Lexington Christian,0.612082120977574
Lincoln County,0.489561308716623
Lloyd Memorial,0.528367608892271
Logan County,0.490805454725027
Lone Oak,0.70921494789143
Ludlow,0.292456992986002
Lynn Camp,0.0137470964870613
Madison Central,0.52394676671129
Madison Southern,0.257419269499671
Madisonville-North Hopkins,0.708025777270587
Magoffin County,0.231320069625298
Male,0.631419268753256
Marion County,0.391489046259322
Marshall County,0.487997035268131
Mason County,0.290773648317752
