Names,Elo
Adair County,1445.49285688742
Allen Central,1503.22208167847
Allen County-Scottsville,1506.78686054266
Anderson County,1676.54474864526
Apollo,1413.44257002046
Ashland Blazer,1635.76518851996
Atherton,1338.30546845034
Ballard,1536.97992644843
Ballard Memorial,1389.63493678596
Bardstown,1622.54509622641
Barren County,1513.31067255679
Bath County,1442.62365260178
Beechwood,1668.56027069466
Belfry,1693.43646887727
Bell County,1665.59565273279
Bellevue,1541.76719064107
Berea,1432.32914739022
Bethlehem,1385.31182366286
Betsy Layne,1497.12686392874
Bishop Brossart,1392.04651683943
Boone County,1614.82345725548
Bourbon County,1575.35523041597
Bowling Green,1799.17284233321
Boyd County,1502.49123236485
Boyle County,1624.9663820084
Bracken County,1438.60995310051
Breathitt County,1682.33815599027
Breckinridge County,1362.74101775473
Bryan Station,1544.96755522497
Bullitt Central,1407.9422152711
Bullitt East,1400.57071617036
Butler,1628.78882331329
Butler County,1565.76941585131
Caldwell County,1509.36344517357
Calloway County,1412.01557989252
Campbell County,1491.94199220045
Campbellsville,1527.75093192421
Carroll County,1587.90928024444
Casey County,1451.09962230454
Caverna,1326.16102625682
Central,1700.57470712696
Central Hardin,1508.835119626
Christian Academy-Louisville,1590.46740974453
Christian County,1636.79372146353
Clay County,1388.48623840767
Clinton County,1307.89073344837
Collins,1621.06164739229
Conner,1573.74647705391
Cooper,1551.4740625998
Corbin,1566.91936922957
Covington Catholic,1686.03878038082
Crittenden County,1436.24644241426
Danville,1589.10652924312
Daviess County,1418.38554296315
Dayton,1356.07092415642
DeSales,1550.61406888393
Dixie Heights,1466.15284085965
Doss,1389.85770250514
DuPont Manual,1599.08431946225
East Carter,1320.53438970149
East Jessamine,1478.81369253493
East Ridge,1352.4484158627
Eastern,1612.15320945586
Edmonson County,1634.94987413806
Elizabethtown,1333.98649889174
Eminence,1535.04663687399
Estill County,1446.02317879191
Fairdale,1392.99097415013
Fairview,1651.44057454456
Fern Creek,1457.86653529959
Fleming County,1437.19812991494
Fort Campbell,1628.3781115454
Fort Knox,1407.17049176336
Frankfort,1544.51160069914
Franklin County,1659.50510405535
Franklin-Simpson,1691.53849251327
Fulton City,1358.59894332476
Fulton County,1420.75499599344
Gallatin County,1488.64955776257
Garrard County,1664.64017137383
George Rogers Clark,1442.71170375595
Glasgow,1711.84907277518
Grant County,1430.60755692393
Graves County,1486.06583686766
Grayson County,1476.56920665965
Green County,1570.60067640673
Greenup County,1338.79301773704
Greenwood,1581.391279611
Hancock County,1555.35927284075
Harlan,1519.32919192223
Harlan County,1631.59025638962
Harrison County,1411.07310243511
Hart County,1468.38503925844
Hazard,1710.3014529593
Heath,1432.99166737295
Henderson County,1630.74996279352
Henry Clay,1452.94733076982
Henry County,1391.4185677471
Highlands,1784.41113739604
Holmes,1486.60868396617
Holy Cross (Covington),1715.49164041821
Holy Cross (Louisville),1620.72550554221
Hopkins County Central,1360.53463098484
Hopkinsville,1329.04245743633
Iroquois,1312.23365497295
Jackson County,1330.24095410814
Jeffersontown,1623.69072276558
Jenkins,1346.29433042239
John Hardin,1723.45874684451
Johnson Central,1617.40855908806
Kentucky Country Day,1565.65260209533
Knott County Central,1287.14534530242
Knox Central,1543.03818441499
LaRue County,1525.99285572789
Lafayette,1578.79666597733
Lawrence County,1506.78338506789
Leslie County,1603.77483923903
Letcher County Central,1471.69023145391
Lewis County,1575.82206701671
Lexington Catholic,1673.36789193893
Lexington Christian,1565.33372806109
Lincoln County,1508.23362663237
Lloyd Memorial,1525.13528018132
Logan County,1489.43173317147
Lone Oak,1619.34643074418
Ludlow,1439.27599119521
Lynn Camp,1300.0790648685
Madison Central,1509.08401221926
Madison Southern,1397.8852089506
Madisonville-North Hopkins,1597.23043361411
Magoffin County,1406.68904352027
Male,1520.40639615853
Marion County,1434.23834062691
Marshall County,1498.42562791903
Mason County,1403.3065238976
Mayfield,1717.21829931287
McCreary Central,1387.47422191664
McLean County,1305.7650845311
Meade County,1487.005118214
Mercer County,1495.54078827953
Metcalfe County,1394.04407205687
Middlesboro,1448.56744043864
Monroe County,1548.09613962714
Montgomery County,1553.05765885274
Moore,1438.05650145376
Morgan County,1544.48546069175
Muhlenberg County,1315.83611110619
Murray,1656.69315850729
Nelson County,1374.83793299651
Newport,1473.08575043425
Newport Central Catholic,1641.03241129648
Nicholas County,1512.55785179784
North Bullitt,1608.40747386272
North Hardin,1542.73582400106
North Laurel,1392.66448367522
North Oldham,1556.13598292093
Ohio County,1589.2655446332
Oldham County,1406.90782184737
Owen County,1669.87115362751
Owensboro,1508.52206120255
Owensboro Catholic,1674.61073589948
Paducah Tilghman,1642.05816183846
Paintsville,1365.39045773575
Paris,1334.55002215984
Paul Laurence Dunbar,1375.53935245173
Pendleton County,1418.33658725633
Perry County Central,1611.81936815986
Phelps,1418.75322887066
Pike County Central,1591.98527694069
Pikeville,1654.79885660644
