name,region
Boyle County,3
Highlands,3
Bryan Station,3
Beechwood,3
Bellevue,3
Trinity (Louisville),3
Lexington Catholic,3
Henry Clay,3
Dixie Heights,3
Newport,3
Nicholas County,3
Franklin County,3
Mason County,3
Berea,3
Russell,3
Harrison County,3
Fern Creek,3
Holmes,3
Raceland,3
Garrard County,3
West Jessamine,3
Ryle,3
Mercer County,3
Ballard,3
Bourbon County,3
Anderson County,3
Ludlow,3
Boone County,3
Fleming County,3
Conner,3
Scott County,3
Bath County,3
Southern,3
Covington Catholic,3
Newport Central Catholic,3
Grant County,3
Western Hills,3
Simon Kenton,3
Seneca,3
Henry County,3
West Carter,3
Eastern,3
Holy Cross (Covington),3
Scott,3
Dayton,3
Campbell County,3
Montgomery County,3
Paris,3
Jeffersontown,3
Lloyd Memorial,3
Millersburg Military,3
Owen County,3
Fairview,3
Owensboro,1
Hopkinsville,1
Hancock County,1
Franklin-Simpson,1
Glasgow,1
Crittenden County,1
Mayfield,1
Calloway County,1
Hopkins County Central,1
Murray,1
Webster County,1
Bowling Green,1
Daviess County,1
Owensboro Catholic,1
Greenwood,1
Union County,1
Graves County,1
McLean County,1
Muhlenberg South,1
Marshall County,1
Apollo,1
Russellville,1
Monroe County,1
Madisonville-North Hopkins,1
Ballard Memorial,1
Warren Central,1
Allen County-Scottsville,1
Todd County Central,1
Heath,1
Paducah Tilghman,1
Ohio County,1
Muhlenberg North,1
Trigg County,1
Barren County,1
Fulton County,1
Hart County,1
Grayson County,1
Christian County,1
Caldwell County,1
Reidland,1
Lone Oak,1
Edmonson County,1
Fulton City,1
Logan County,1
Butler County,1
Henderson County,1
Fort Campbell,1
Warren East,1
St. Xavier,2
Male,2
Taylor County,2
Nelson County,2
LaRue County,2
Campbellsville,2
Somerset,2
Southwestern,2
Bardstown,2
Harrodsburg,2
Lincoln County,2
Corbin,2
Bullitt East,2
Oldham County,2
Waggener,2
Pleasure Ridge Park,2
Moore,2
Central Hardin,2
Washington County,2
North Hardin,2
Breckinridge County,2
Carroll County,2
Danville,2
Fairdale,2
East Jessamine,2
Green County,2
DuPont Manual,2
Central,2
Wayne County,2
Meade County,2
DeSales,2
Elizabethtown,2
Frankfort,2
Trimble County,2
Casey County,2
McCreary Central,2
Russell County,2
Butler,2
Marion County,2
Valley,2
Shelby County,2
Holy Cross (Louisville),2
Atherton,2
South Oldham,2
Pulaski County,2
Fort Knox,2
Madison Southern,2
North Bullitt,2
Bullitt Central,2
Western,2
Adair County,2
Shawnee,2
Doss,2
Christian Academy-Louisville,2
Metcalfe County,2
Pikeville,4
Lawrence County,4
Sheldon Clark,4
Harlan,4
South Laurel,4
Breathitt County,4
Middlesboro,4
Tates Creek,4
Rockcastle County,4
Shelby Valley,4
Bell County,4
Whitley County,4
Belfry,4
Madison Central,4
Paintsville,4
Williamsburg,4
Hazard,4
Leslie County,4
Paul Laurence Dunbar,4
South Floyd,4
Greenup County,4
Johnson Central,4
Boyd County,4
Pineville,4
Estill County,4
Lynn Camp,4
Magoffin County,4
Powell County,4
Pike County Central,4
Fleming-Neon,4
George Rogers Clark,4
Perry County Central,4
Ashland Blazer,4
Clay County,4
Elkhorn City,4
Prestonsburg,4
Whitesburg,4
Lafayette,4
Morgan County,4
Cawood,4
Phelps,4
East Carter,4
North Laurel,4
Knott County Central,4
Woodford County,4
Rowan County,4
Cumberland,4
Betsy Layne,4
Knox Central,4
Evarts,4
Caverna,NaN
Bethlehem,NaN
Iroquois,NaN
Eminence,NaN
Lewis County,NaN
Allen Central,NaN
Evarts,NaN
Kentucky School f/t Deaf,NaN
Kentucky Country Day,NaN
Jenkins,NaN
Beth Haven,NaN
