Name,Region
Adair County,3
Allen Central,1
Allen County-Scottsville,3
Anderson County,3
Apollo,4
Ashland Blazer,3
Atherton,3
Ballard,4
Ballard Memorial,1
Bardstown,1
Barren County,4
Bath County,1
Beechwood,1
Belfry,2
Bell County,3
Bellevue,1
Berea,1
Bethlehem,1
Boone County,4
Bourbon County,3
Bowling Green,3
Boyd County,3
Boyle County,3
Bracken County,1
Breathitt County,2
Breckinridge County,3
Bryan Station,4
Bullitt Central,4
Bullitt East,3
Butler,4
Butler County,2
Caldwell County,2
Calloway County,3
Campbell County,4
Campbellsville,1
Carroll County,1
Casey County,2
Caverna,1
Cawood,2
Central,3
Central Hardin,4
Christian Academy-Louisville,2
Christian County,4
Clay County,3
Conner,4
Corbin,2
Covington Catholic,3
Crittenden County,1
Cumberland,1
Danville,1
Daviess County,4
Dayton,1
DeSales,2
Dixie Heights,4
Doss,3
DuPont Manual,4
East Carter,2
East Jessamine,3
East Ridge,2
Eastern,4
Edmonson County,2
Elizabethtown,2
Estill County,2
Evarts,1
Fairdale,3
Fairview,1
Fern Creek,4
Fleming County,2
Fort Campbell,2
Fort Knox,1
Frankfort,1
Franklin County,3
Franklin-Simpson,3
Fulton City,1
Fulton County,1
Garrard County,2
George Rogers Clark,4
Glasgow,2
Grant County,3
Graves County,4
Grayson County,4
Green County,1
Greenup County,3
Greenwood,4
Hancock County,1
Harlan,1
Harrison County,3
Hart County,2
Hazard,1
Heath,2
Henderson County,4
Henry Clay,4
Henry County,2
Highlands,3
Holmes,4
Holy Cross (Covington),1
Holy Cross (Louisville),1
Hopkins County Central,3
Hopkinsville,3
Iroquois,4
Jeffersontown,3
Jenkins,1
John Hardin,4
Johnson Central,3
Kentucky Country Day,1
Knott County Central,2
Knox Central,3
Lafayette,4
LaRue County,2
Lawrence County,3
Leslie County,2
Letcher County Central,3
Lewis County,2
Lexington Catholic,3
Lexington Christian,1
Lincoln County,4
Lloyd Memorial,2
Logan County,3
Lone Oak,2
Ludlow,1
Lynn Camp,1
Madison Central,4
Madison Southern,3
Madisonville-North Hopkins,3
Magoffin County,2
Male,4
Marion County,3
Marshall County,4
Mason County,3
Mayfield,1
McLean County,1
Meade County,4
Mercer County,2
Metcalfe County,1
Middlesboro,2
Monroe County,2
Montgomery County,4
Moore,2
Morgan County,2
Muhlenberg South,2
Murray,1
Nelson County,4
Newport,2
Newport Central Catholic,1
Nicholas County,1
North Bullitt,3
North Hardin,4
North Laurel,4
North Oldham,2
Ohio County,4
Oldham County,4
Owen County,1
Owensboro,4
Owensboro Catholic,2
Paducah Tilghman,3
Paintsville,1
Paris,1
Paul Laurence Dunbar,4
Pendleton County,3
Perry County Central,3
Phelps,1
Pike County Central,2
Pikeville,1
Pineville,1
Pleasure Ridge Park,4
Powell County,2
Prestonsburg,2
Pulaski County,3
Raceland,1
Reidland,2
Rockcastle County,3
Russell,2
Russell County,3
Russellville,1
Ryle,4
Scott,4
Scott County,4
Seneca,4
Shawnee,2
Shelby County,4
Shelby Valley,2
Sheldon Clark,2
Simon Kenton,4
Somerset,1
South Floyd,1
South Laurel,4
South Oldham,3
Southern,4
Southwestern,3
Spencer County,2
St. Xavier,4
Tates Creek,4
Taylor County,3
Todd County Central,2
Trigg County,2
Trimble County,1
Trinity (Louisville),4
Union County,3
Valley,3
Waggener,3
Warren Central,4
Warren East,3
Washington County,2
Wayne County,2
Webster County,2
West Carter,2
West Jessamine,3
Western,2
Western Hills,3
Whitley County,4
Williamsburg,1
Woodford County,4
