rank,MassName,Mass,CollName,Coll,EloName,Elo
1,Frederick Douglass  11-1 (11-1),29.1817895281574,Male  14-1 (13-1),1.00399335639684,Male  14-1 (13-1),1655.11884584237
2,Male  14-1 (13-1),27.2067022362697,Frederick Douglass  11-1 (11-1),0.959976233119057,Frederick Douglass  11-1 (11-1),1630.43642897453
3,Scott County  11-4 (10-3),23.8570991152083,St. Xavier  9-4 (9-3),0.888170224681744,Scott County  11-4 (10-3),1613.46950152898
4,St. Xavier  9-4 (9-3),21.9522391246867,Scott County  11-4 (10-3),0.872318498648345,Simon Kenton  10-3 (10-3),1612
5,North Hardin  9-3 (8-3),20.7881302241043,North Hardin  9-3 (8-3),0.81735451959197,St. Xavier  9-4 (9-3),1595.26369320648
6,Simon Kenton  10-3 (10-3),19.8674982560574,Simon Kenton  10-3 (10-3),0.80276405815312,Madison Central  10-4 (10-4),1580.84006900456
7,Butler  8-4 (8-4),17.4917185275157,Trinity (Louisville)  7-7 (7-3),0.737197089166722,North Hardin  9-3 (8-3),1579.26369320648
8,Trinity (Louisville)  7-7 (7-3),16.4648346615483,Butler  8-4 (8-4),0.729158521176889,Trinity (Louisville)  7-7 (7-3),1564
9,Henry Clay  6-6 (6-6),15.2506361386122,Conner  9-4 (9-4),0.718714824489561,Conner  9-4 (9-4),1560.96018961613
10,Conner  9-4 (9-4),14.729092655421,Campbell County  6-5 (6-4),0.697354330210922,Butler  8-4 (8-4),1548.83919781914
11,Campbell County  6-5 (6-4),13.319489461966,Madison Central  10-4 (10-4),0.696920643801836,Ballard  8-5 (8-5),1543.42567939423
12,Ballard  8-5 (8-5),12.854777063816,Ballard  8-5 (8-5),0.686262719296378,George Rogers Clark  7-4 (7-4),1541.14867603621
13,Madison Central  10-4 (10-4),10.0892574475677,McCracken County  8-4 (6-3),0.672928897425894,McCracken County  8-4 (6-3),1540.83605552053
14,DuPont Manual  6-5 (6-5),9.91460015877831,Henry Clay  6-6 (6-6),0.638166428142457,Campbell County  6-5 (6-4),1530.81030131721
15,Cooper  5-7 (5-7),9.66212054278432,DuPont Manual  6-5 (6-5),0.63488291918491,Daviess County  6-5 (6-4),1517.11549595239
16,George Rogers Clark  7-4 (7-4),8.77055329574573,Daviess County  6-5 (6-4),0.61701149119094,Henderson County  7-5 (5-4),1512.94560807532
17,Meade County  3-8 (3-8),8.39933695633196,George Rogers Clark  7-4 (7-4),0.612685867245575,DuPont Manual  6-5 (6-5),1510.7798357613
18,Central Hardin  3-8 (3-8),8.29620937341605,Henderson County  7-5 (5-4),0.580680264850069,Henry Clay  6-6 (6-6),1508.09937732922
19,Henderson County  7-5 (5-4),8.13075397886131,Cooper  5-7 (5-7),0.544190327598082,Tates Creek  5-6 (5-6),1484
20,McCracken County  8-4 (6-3),7.79748070249754,Tates Creek  5-6 (5-6),0.533210450099515,Cooper  5-7 (5-7),1479.04025999035
21,Tates Creek  5-6 (5-6),7.25944259022346,Central Hardin  3-8 (3-8),0.477234211037311,Paul Laurence Dunbar  3-7 (3-7),1437.98572254345
22,Daviess County  6-5 (6-4),7.19259943550564,Meade County  3-8 (3-8),0.474801933636152,Bryan Station  2-9 (2-9),1437.58575104214
23,Bryan Station  2-9 (2-9),3.61937034778499,Pleasure Ridge Park  2-9 (2-9),0.439999916338556,Eastern  3-8 (3-8),1434.92679802967
24,Pleasure Ridge Park  2-9 (2-9),3.51770512164746,Bryan Station  2-9 (2-9),0.40297923905949,Central Hardin  3-8 (3-8),1429.78083112411
25,Ryle  2-9 (2-8),2.55460094602495,Paul Laurence Dunbar  3-7 (3-7),0.38082201242395,Meade County  3-8 (3-8),1423.39734497609
26,Paul Laurence Dunbar  3-7 (3-7),-0.336985747532188,Ryle  2-9 (2-8),0.379846497285143,Muhlenberg County  3-8 (3-8),1421.52155093336
27,Lafayette  1-10 (1-9),-0.358858381325464,Boone County  2-9 (2-9),0.327400342652976,Jeffersontown  3-8 (3-8),1416.75698535366
28,Boone County  2-9 (2-9),-0.373585724335106,Eastern  3-8 (3-8),0.327105648635783,Ryle  2-9 (2-8),1412.30416198754
29,Eastern  3-8 (3-8),-0.748024045518726,Muhlenberg County  3-8 (3-8),0.30872263726544,Boone County  2-9 (2-9),1407.6215195332
30,Jeffersontown  3-8 (3-8),-9.60319313612282,Lafayette  1-10 (1-9),0.297607830725471,Pleasure Ridge Park  2-9 (2-9),1392.9862561892
31,Muhlenberg County  3-8 (3-8),-10.5690767899963,Jeffersontown  3-8 (3-8),0.259867345893684,Lafayette  1-10 (1-9),1382.08333093678
32,Ohio County  1-10 (1-10),-14.2636055578611,Ohio County  1-10 (1-10),0.144804683982162,Ohio County  1-10 (1-10),1364.55347393883
33,Seneca  0-11 (0-11),-16.4373111165982,Seneca  0-11 (0-11),0.101306797287511,Seneca  0-11 (0-11),1328.28054415792
