Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 1 2005,Thu,(20) Arizona State,63,,Temple,16,
2,1,Sep 1 2005,Thu,Cincinnati,28,,Eastern Michigan,26,
3,1,Sep 1 2005,Thu,Connecticut,38,,Buffalo,0,
4,1,Sep 1 2005,Thu,Marshall,36,,William & Mary,24,
5,1,Sep 1 2005,Thu,Minnesota,41,@,Tulsa,10,
6,1,Sep 1 2005,Thu,Northwestern State,27,@,Louisiana-Monroe,23,
7,1,Sep 1 2005,Thu,Oregon,38,@,Houston,24,
8,1,Sep 1 2005,Thu,South Carolina,24,,Central Florida,15,
9,1,Sep 1 2005,Thu,Toledo,62,,Western Illinois,14,
10,1,Sep 1 2005,Thu,Vanderbilt,24,@,Wake Forest,20,
11,1,Sep 1 2005,Thu,Washington State,38,,Idaho,26,
12,1,Sep 2 2005,Fri,Indiana,20,@,Central Michigan,13,
13,1,Sep 2 2005,Fri,Utah,27,,Arizona,24,
14,1,Sep 3 2005,Sat,Air Force,20,@,Washington,17,
15,1,Sep 3 2005,Sat,Alabama,26,,Middle Tennessee State,7,
16,1,Sep 3 2005,Sat,Arkansas,49,,Missouri State,17,
17,1,Sep 3 2005,Sat,Baylor,28,@,Southern Methodist,23,
18,1,Sep 3 2005,Sat,(22) Boston College,20,@,Brigham Young,3,
19,1,Sep 3 2005,Sat,(19) California,41,,Sacramento State,3,
20,1,Sep 3 2005,Sat,Clemson,25,,(17) Texas A&M,24,
21,1,Sep 3 2005,Sat,Colorado,31,,Colorado State,28,
22,1,Sep 3 2005,Sat,East Carolina,24,,Duke,21,
23,1,Sep 3 2005,Sat,(10) Florida,32,,Wyoming,14,
24,1,Sep 3 2005,Sat,(13) Georgia,48,,(18) Boise State,13,
25,1,Sep 3 2005,Sat,Georgia Tech,23,@,(16) Auburn,14,
26,1,Sep 3 2005,Sat,Illinois,33,,Rutgers,30,
27,1,Sep 3 2005,Sat,(11) Iowa,56,,Ball State,0,
28,1,Sep 3 2005,Sat,Iowa State,32,,Illinois State,21,
29,1,Sep 3 2005,Sat,Kansas,30,,Florida Atlantic,19,
30,1,Sep 3 2005,Sat,Kansas State,35,,Florida International,21,
31,1,Sep 3 2005,Sat,Maryland,23,,Navy,20,
32,1,Sep 3 2005,Sat,(4) Michigan,33,,Northern Illinois,17,
33,1,Sep 3 2005,Sat,Michigan State,49,,Kent State,14,
34,1,Sep 3 2005,Sat,Mississippi State,38,,Murray State,6,
35,1,Sep 3 2005,Sat,Missouri,44,,Arkansas State,17,
36,1,Sep 3 2005,Sat,Nebraska,25,,Maine,7,
37,1,Sep 3 2005,Sat,Northwestern,38,,Ohio,14,
38,1,Sep 3 2005,Sat,Notre Dame,42,@,(23) Pittsburgh,21,
39,1,Sep 3 2005,Sat,(6) Ohio State,34,,Miami (OH),14,
40,1,Sep 3 2005,Sat,Oklahoma State,15,,Montana State,10,
41,1,Sep 3 2005,Sat,Oregon State,41,,Portland State,14,
42,1,Sep 3 2005,Sat,Penn State,23,,South Florida,13,
43,1,Sep 3 2005,Sat,San Jose State,35,,Eastern Washington,24,
44,1,Sep 3 2005,Sat,(1) Southern California,63,@,Hawaii,17,
45,1,Sep 3 2005,Sat,(3) Tennessee,17,,Alabama-Birmingham,10,
46,1,Sep 3 2005,Sat,(2) Texas,60,,Louisiana,3,
47,1,Sep 3 2005,Sat,Texas Christian,17,@,(7) Oklahoma,10,
48,1,Sep 3 2005,Sat,Texas-El Paso,34,@,New Mexico State,17,
49,1,Sep 3 2005,Sat,Troy,27,,Cal Poly,10,
50,1,Sep 3 2005,Sat,UCLA,44,@,San Diego State,21,
51,1,Sep 3 2005,Sat,(25) Virginia,31,,Western Michigan,19,
52,1,Sep 3 2005,Sat,Wisconsin,56,,Bowling Green State,42,
53,1,Sep 4 2005,Sun,(12) Louisville,31,@,Kentucky,24,
54,1,Sep 4 2005,Sun,(8) Virginia Tech,20,@,North Carolina State,16,
55,1,Sep 4 2005,Sun,West Virginia,15,@,Syracuse,7,
56,1,Sep 5 2005,Mon,(14) Florida State,10,,(9) Miami (FL),7,
57,1,Sep 5 2005,Mon,Mississippi,10,@,Memphis,6,
58,1,Sep 5 2005,Mon,New Mexico,24,,Nevada-Las Vegas,22,
59,2,Sep 8 2005,Thu,Oklahoma State,23,@,Florida Atlantic,3,
60,2,Sep 9 2005,Fri,Ohio,16,,Pittsburgh,10,
61,2,Sep 9 2005,Fri,Washington State,55,@,Nevada,21,
62,2,Sep 10 2005,Sat,Air Force,41,,San Diego State,29,
63,2,Sep 10 2005,Sat,Alabama,30,,Southern Mississippi,21,
64,2,Sep 10 2005,Sat,Alabama-Birmingham,27,@,Troy,7,
65,2,Sep 10 2005,Sat,Arizona,31,,Northern Arizona,12,
66,2,Sep 10 2005,Sat,Arkansas State,56,,Tennessee-Martin,7,
67,2,Sep 10 2005,Sat,Auburn,28,,Mississippi State,0,
68,2,Sep 10 2005,Sat,Baylor,48,,Samford,14,
69,2,Sep 10 2005,Sat,(19) Boston College,44,,Army,7,
70,2,Sep 10 2005,Sat,Bowling Green State,40,@,Ball State,31,
71,2,Sep 10 2005,Sat,Brigham Young,45,,Eastern Illinois,10,
72,2,Sep 10 2005,Sat,(16) California,56,@,Washington,17,
73,2,Sep 10 2005,Sat,Central Michigan,38,@,Miami (OH),37,
74,2,Sep 10 2005,Sat,(25) Clemson,28,@,Maryland,24,
75,2,Sep 10 2005,Sat,Colorado,39,,New Mexico State,0,
76,2,Sep 10 2005,Sat,Connecticut,59,,Liberty,0,
77,2,Sep 10 2005,Sat,Eastern Michigan,31,,Louisiana,10,
78,2,Sep 10 2005,Sat,(10) Florida,41,,Louisiana Tech,3,
79,2,Sep 10 2005,Sat,(11) Florida State,62,,Citadel,10,
80,2,Sep 10 2005,Sat,(24) Fresno State,55,,Weber State,17,
81,2,Sep 10 2005,Sat,(9) Georgia,17,,South Carolina,15,
82,2,Sep 10 2005,Sat,(17) Georgia Tech,27,,North Carolina,21,
83,2,Sep 10 2005,Sat,Houston,31,,Sam Houston State,10,
84,2,Sep 10 2005,Sat,Illinois,40,,San Jose State,19,
