,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Boston College,ACC (Atlantic),9,5,.643,5,3,.625,24.7,18.4,6.72,2.15,,18,,
2,Florida State,ACC (Atlantic),9,4,.692,5,3,.625,33.4,20.2,10.67,2.67,,16,21,
3,Maryland,ACC (Atlantic),8,5,.615,4,4,.500,21.8,22.5,2.96,1.73,,22,,
4,Wake Forest,ACC (Atlantic),8,5,.615,4,4,.500,21.0,18.3,7.45,4.68,23,16,,
5,Clemson,ACC (Atlantic),7,6,.538,4,4,.500,25.2,17.3,6.97,2.51,9,9,,
6,North Carolina State,ACC (Atlantic),6,7,.462,4,4,.500,23.5,26.3,1.41,3.57,,,,
7,Virginia Tech,ACC (Coastal),10,4,.714,5,3,.625,22.1,16.7,8.14,2.43,17,15,15,
8,Georgia Tech,ACC (Coastal),9,4,.692,5,3,.625,24.4,20.3,6.78,1.70,,14,22,
9,North Carolina,ACC (Coastal),8,5,.615,4,4,.500,27.7,21.2,7.90,2.67,,17,,record adjusted to 0-5-0 by NCAA
10,Miami (FL),ACC (Coastal),7,6,.538,4,4,.500,27.1,24.2,4.85,3.62,,23,,
11,Virginia,ACC (Coastal),5,7,.417,3,5,.375,16.1,21.7,1.40,4.57,,,,
12,Duke,ACC (Coastal),4,8,.333,1,7,.125,20.1,23.4,-0.39,3.28,,,,
13,Missouri,Big 12 (North),10,4,.714,5,3,.625,42.2,27.2,13.11,4.54,6,3,19,
14,Nebraska,Big 12 (North),9,4,.692,5,3,.625,35.4,28.5,10.92,3.69,,,,
15,Kansas,Big 12 (North),8,5,.615,4,4,.500,33.4,28.8,9.23,4.00,14,13,,
16,Colorado,Big 12 (North),5,7,.417,2,6,.250,20.2,29.3,-1.07,4.10,,,,
17,Kansas State,Big 12 (North),5,7,.417,2,6,.250,34.9,35.8,-3.39,0.78,,,,
18,Iowa State,Big 12 (North),2,10,.167,0,8,.000,25.3,35.8,-7.80,1.11,,,,
19,Oklahoma,Big 12 (South),12,2,.857,7,1,.875,51.1,24.5,24.79,6.72,4,1,5,
20,Texas,Big 12 (South),12,1,.923,7,1,.875,42.4,18.8,23.98,6.05,11,1,4,
21,Texas Tech,Big 12 (South),11,2,.846,7,1,.875,43.8,27.8,15.46,3.00,12,2,12,
22,Oklahoma State,Big 12 (South),9,4,.692,5,3,.625,40.8,28.1,13.09,3.78,,7,16,
23,Baylor,Big 12 (South),4,8,.333,2,6,.250,28.0,29.3,2.59,5.68,,,,
24,Texas A&M,Big 12 (South),4,8,.333,2,6,.250,25.0,37.4,-5.38,4.12,,,,
25,Cincinnati,Big East,11,3,.786,6,1,.857,25.9,20.1,6.03,-0.19,,12,17,
26,Pitt,Big East,9,4,.692,5,2,.714,27.1,21.5,8.87,3.17,25,17,,
27,Rutgers,Big East,8,5,.615,5,2,.714,29.0,18.8,6.35,-0.26,,,,
28,West Virginia,Big East,9,4,.692,5,2,.714,24.5,17.0,7.09,0.09,8,8,23,
29,Connecticut,Big East,8,5,.615,3,4,.429,24.9,19.8,4.67,0.75,,24,,
30,South Florida,Big East,8,5,.615,2,5,.286,27.6,20.0,4.45,-0.62,19,10,,
31,Louisville,Big East,5,7,.417,1,6,.143,24.7,29.8,-3.83,-0.33,,,,
32,Syracuse,Big East,3,9,.250,1,6,.143,18.1,32.7,-9.00,2.84,,,,
33,Penn State,Big Ten,11,2,.846,7,1,.875,38.9,14.4,17.82,1.97,22,3,8,
34,Ohio State,Big Ten,10,3,.769,7,1,.875,27.6,13.9,13.94,3.87,2,2,9,
35,Michigan State,Big Ten,9,4,.692,6,2,.750,25.1,22.1,7.92,3.15,,17,24,
36,Iowa,Big Ten,9,4,.692,5,3,.625,30.3,13.0,11.11,0.57,,20,20,
37,Northwestern,Big Ten,9,4,.692,5,3,.625,24.4,20.2,4.82,-0.11,,22,,
38,Minnesota,Big Ten,7,6,.538,3,5,.375,23.2,24.8,0.01,0.09,,20,,
39,Wisconsin,Big Ten,7,6,.538,3,5,.375,27.5,26.5,1.82,1.13,13,8,,
40,Illinois,Big Ten,5,7,.417,3,5,.375,28.7,26.6,2.96,2.04,20,20,,
41,Purdue,Big Ten,4,8,.333,2,6,.250,24.7,25.1,-0.54,3.04,,,,
42,Michigan,Big Ten,3,9,.250,2,6,.250,20.3,28.9,-4.66,3.00,,,,
43,Indiana,Big Ten,3,9,.250,1,7,.125,20.5,35.3,-8.73,1.44,,,,
44,East Carolina,CUSA (East),9,5,.643,6,2,.750,23.4,21.1,1.58,-1.49,,14,,
45,Southern Mississippi,CUSA (East),7,6,.538,4,4,.500,30.6,24.1,0.46,-3.24,,,,
46,Memphis,CUSA (East),6,7,.462,4,4,.500,27.2,27.2,-5.62,-4.77,,,,
47,Marshall,CUSA (East),4,8,.333,3,5,.375,20.5,27.7,-7.66,-1.00,,,,
48,UAB,CUSA (East),4,8,.333,3,5,.375,22.8,31.3,-9.78,-3.61,,,,
49,UCF,CUSA (East),4,8,.333,3,5,.375,16.6,24.1,-8.39,-2.98,,,,
50,Rice,CUSA (West),10,3,.769,7,1,.875,41.3,33.3,3.92,-3.55,,,,
51,Tulsa,CUSA (West),11,3,.786,7,1,.875,47.2,27.9,7.06,-6.58,,19,,
52,Houston,CUSA (West),8,5,.615,6,2,.750,40.6,30.9,2.21,-3.40,,,,
53,UTEP,CUSA (West),5,7,.417,4,4,.500,32.9,37.0,-4.95,-1.45,,,,
54,Tulane,CUSA (West),2,10,.167,1,7,.125,16.7,34.5,-15.77,-1.77,,,,
55,SMU,CUSA (West),1,11,.083,0,8,.000,21.3,38.2,-14.50,-0.58,,,,
56,Western Kentucky,Ind,2,10,.167,0,5,.000,17.5,27.2,-13.78,-4.44,,,,
57,Navy,Ind,8,5,.615,0,0,,27.2,22.0,3.53,-0.78,,,,
58,Notre Dame,Ind,7,6,.538,0,0,,24.7,22.2,2.99,0.91,,,,
59,Army,Ind,3,9,.250,0,0,,14.8,23.7,-12.69,-4.27,,,,
60,Buffalo,MAC (East),8,6,.571,5,3,.625,30.3,28.2,-0.41,-2.70,,,,
61,Bowling Green State,MAC (East),6,6,.500,4,4,.500,27.7,23.2,-2.00,-5.25,,,,
62,Temple,MAC (East),5,7,.417,4,4,.500,23.4,23.1,-3.38,-4.05,,,,
63,Akron,MAC (East),5,7,.417,3,5,.375,30.0,31.3,-6.87,-4.95,,,,
64,Kent State,MAC (East),4,8,.333,3,5,.375,25.7,31.7,-11.10,-5.02,,,,
65,Ohio,MAC (East),4,8,.333,3,5,.375,24.1,27.3,-8.80,-4.64,,,,
66,Miami (OH),MAC (East),2,10,.167,1,7,.125,18.4,32.7,-17.24,-3.91,,,,
67,Ball State,MAC (West),12,2,.857,8,0,1.000,34.9,20.5,6.26,-7.03,,12,,
68,Central Michigan,MAC (West),8,5,.615,6,2,.750,29.5,30.2,-2.75,-4.44,,,,
69,Western Michigan,MAC (West),9,4,.692,6,2,.750,28.6,24.9,-0.87,-4.49,,,,
70,Northern Illinois,MAC (West),6,7,.462,5,3,.625,24.2,18.0,-2.73,-5.43,,,,
71,Eastern Michigan,MAC (West),3,9,.250,2,6,.250,25.8,35.6,-13.89,-3.73,,,,
72,Toledo,MAC (West),3,9,.250,2,6,.250,22.4,31.4,-12.22,-3.81,,,,
73,Utah,MWC,13,0,1.000,8,0,1.000,36.9,17.2,13.79,-2.06,,2,2,
74,Texas Christian,MWC,11,2,.846,7,1,.875,33.6,11.3,13.47,-1.23,,7,7,
75,Brigham Young,MWC,10,3,.769,6,2,.750,34.2,21.9,4.96,-3.58,16,8,25,
76,Air Force,MWC,8,5,.615,5,3,.625,26.8,22.2,2.55,-2.53,,,,
77,Colorado State,MWC,7,6,.538,4,4,.500,25.2,30.2,-3.96,-1.04,,,,
78,Nevada-Las Vegas,MWC,5,7,.417,2,6,.250,25.6,32.6,-7.41,-1.08,,,,
