,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,10,3,.769,7,1,.875,32.2,16.7,17.75,6.90,13,3,11,
2,Maryland,ACC,10,3,.769,6,2,.750,31.2,15.8,12.92,2.23,15,15,17,
3,Clemson,ACC,9,4,.692,5,3,.625,28.1,19.2,10.49,4.26,,22,22,
4,North Carolina State,ACC,8,5,.615,4,4,.500,37.6,29.6,10.41,4.48,16,14,,
5,Virginia,ACC,8,5,.615,4,4,.500,28.0,20.4,10.15,4.46,18,15,,
6,Georgia Tech,ACC,7,6,.538,4,4,.500,21.1,20.5,5.60,5.68,,,,
7,Wake Forest,ACC,5,7,.417,3,5,.375,27.9,28.9,4.19,5.28,,20,,
8,Duke,ACC,4,8,.333,2,6,.250,17.6,28.6,-3.02,4.31,,,,
9,North Carolina,ACC,2,10,.167,1,7,.125,26.4,38.3,-5.15,5.18,,,,
10,Kansas State,Big 12 (North),11,4,.733,6,2,.750,36.6,16.3,15.74,1.61,7,6,14,
11,Nebraska,Big 12 (North),10,3,.769,5,3,.625,24.8,14.5,11.18,2.18,,10,19,
12,Missouri,Big 12 (North),8,5,.615,4,4,.500,30.7,22.1,6.45,0.45,,21,,
13,Colorado,Big 12 (North),5,7,.417,3,5,.375,26.6,33.2,1.45,6.36,,17,,
14,Kansas,Big 12 (North),6,7,.462,3,5,.375,29.5,30.5,-0.59,0.49,,,,
15,Iowa State,Big 12 (North),2,10,.167,0,8,.000,14.4,36.4,-10.27,5.15,,,,
16,Oklahoma,Big 12 (South),12,2,.857,8,0,1.000,42.9,15.3,20.27,4.06,1,1,3,
17,Texas,Big 12 (South),10,3,.769,7,1,.875,41.0,21.5,15.35,2.97,5,5,12,
18,Oklahoma State,Big 12 (South),9,4,.692,5,3,.625,35.9,25.1,9.32,0.93,24,14,,
19,Texas Tech,Big 12 (South),8,5,.615,4,4,.500,42.5,34.0,7.50,2.73,,,,
20,Texas A&M,Big 12 (South),4,8,.333,2,6,.250,25.3,38.8,-3.46,5.88,,,,
21,Baylor,Big 12 (South),3,9,.250,1,7,.125,15.9,37.9,-9.46,1.79,,,,
22,Miami (FL),Big East,11,2,.846,6,1,.857,27.8,15.1,14.47,4.16,3,2,5,
23,West Virginia,Big East,8,5,.615,6,1,.857,28.9,22.8,6.51,1.51,,20,,
24,Pitt,Big East,8,5,.615,5,2,.714,29.9,23.9,6.10,1.33,10,9,,
25,Virginia Tech,Big East,8,5,.615,4,3,.571,35.4,23.0,8.91,0.60,9,3,,
26,Boston College,Big East,8,5,.615,3,4,.429,28.5,25.5,5.69,2.53,,,,
27,Syracuse,Big East,6,6,.500,2,5,.286,26.7,25.1,4.11,0.95,,,,
28,Rutgers,Big East,5,7,.417,2,5,.286,27.4,29.5,-1.65,0.27,,,,
29,Temple,Big East,1,11,.083,0,7,.000,19.6,32.8,-11.95,0.88,,,,
30,Michigan,Big Ten,10,3,.769,7,1,.875,35.4,16.8,16.10,3.94,4,3,6,
31,Ohio State,Big Ten,11,2,.846,6,2,.750,24.8,17.6,14.00,6.07,2,2,4,
32,Purdue,Big Ten,9,4,.692,6,2,.750,26.8,17.4,10.79,4.25,19,10,18,
33,Iowa,Big Ten,10,3,.769,5,3,.625,28.7,16.2,14.66,4.20,,8,8,
34,Minnesota,Big Ten,10,3,.769,5,3,.625,38.7,21.9,11.88,-0.04,,17,20,
35,Michigan State,Big Ten,8,5,.615,5,3,.625,27.9,22.5,7.95,3.56,,9,,
36,Wisconsin,Big Ten,7,6,.538,4,4,.500,27.3,23.5,6.44,4.21,21,14,,
37,Northwestern,Big Ten,6,7,.462,4,4,.500,20.2,25.1,0.09,4.47,,,,
38,Penn State,Big Ten,3,9,.250,1,7,.125,19.4,21.3,0.77,4.35,,,,
39,Indiana,Big Ten,2,10,.167,1,7,.125,14.8,32.3,-9.87,3.38,,,,
40,Illinois,Big Ten,1,11,.083,0,8,.000,16.9,33.2,-8.63,4.62,,,,
41,Southern Mississippi,CUSA,9,4,.692,8,0,1.000,22.5,17.4,3.58,-1.12,,,,
42,Texas Christian,CUSA,11,2,.846,7,1,.875,29.2,21.2,2.83,-5.48,25,10,25,
43,Louisville,CUSA,9,4,.692,5,3,.625,34.6,27.8,1.32,-5.38,,,,
44,Memphis,CUSA,9,4,.692,5,3,.625,30.2,19.2,3.31,-5.62,,,,
45,South Florida,CUSA,7,4,.636,5,3,.625,25.1,20.4,-3.98,-6.53,,,,
46,Houston,CUSA,7,6,.538,4,4,.500,34.5,36.0,-4.23,-4.16,,,,
47,UAB,CUSA,5,7,.417,4,4,.500,20.4,23.9,-5.47,-2.64,,,,
48,Tulane,CUSA,5,7,.417,3,5,.375,28.1,35.3,-9.17,-4.34,,,,
49,Cincinnati,CUSA,5,7,.417,2,6,.250,25.3,26.6,-5.93,-3.93,,,,
50,East Carolina,CUSA,1,11,.083,1,7,.125,18.1,35.7,-16.02,-1.44,,,,
51,Army,CUSA,0,13,.000,0,8,.000,15.8,36.6,-22.15,-3.00,,,,
52,Connecticut,Ind,9,3,.750,0,0,,34.0,25.0,3.73,-5.27,,,,
53,Navy,Ind,8,5,.615,0,0,,30.5,21.8,-1.73,-8.04,,,,
54,Troy,Ind,6,6,.500,0,0,,15.4,22.7,-7.15,-2.74,,,,
55,Notre Dame,Ind,5,7,.417,0,0,,20.3,26.3,3.12,8.04,20,15,,
56,Miami (OH),MAC (East),13,1,.929,8,0,1.000,43.0,19.4,14.21,-3.29,,10,10,
57,Marshall,MAC (East),8,4,.667,6,2,.750,29.2,23.2,2.42,-4.49,,,,
58,Akron,MAC (East),7,5,.583,5,3,.625,36.3,29.4,-5.96,-8.62,,,,
59,Kent State,MAC (East),5,7,.417,4,4,.500,26.8,33.0,-8.65,-4.31,,,,
60,UCF,MAC (East),3,9,.250,2,6,.250,18.7,31.1,-16.37,-5.37,,,,
61,Ohio,MAC (East),2,10,.167,1,7,.125,21.9,31.0,-13.54,-4.54,,,,
62,Buffalo,MAC (East),1,11,.083,1,7,.125,14.8,37.1,-18.46,-2.29,,,,
63,Bowling Green State,MAC (West),11,3,.786,7,1,.875,33.6,21.7,4.90,-3.03,,15,23,
64,Northern Illinois,MAC (West),10,2,.833,6,2,.750,32.2,21.5,2.54,-7.46,,12,,
65,Toledo,MAC (West),8,4,.667,6,2,.750,32.4,23.8,0.39,-5.78,,,,
66,Western Michigan,MAC (West),5,7,.417,4,4,.500,27.6,30.8,-6.40,-3.81,,,,
67,Ball State,MAC (West),4,8,.333,3,5,.375,21.8,32.2,-10.31,-2.40,,,,
68,Eastern Michigan,MAC (West),3,9,.250,2,6,.250,17.1,30.9,-17.79,-6.29,,,,
69,Central Michigan,MAC (West),3,9,.250,1,7,.125,23.1,35.7,-16.93,-6.10,,,,
70,Utah,MWC,10,2,.833,6,1,.857,28.7,19.1,10.01,0.34,,21,21,
71,New Mexico,MWC,8,5,.615,5,2,.714,30.1,22.3,4.74,-0.65,,,,
72,Colorado State,MWC,7,6,.538,4,3,.571,29.3,24.5,4.91,1.15,23,23,,
73,Air Force,MWC,7,5,.583,3,4,.429,26.8,20.2,1.14,-2.94,,,,
74,San Diego State,MWC,6,6,.500,3,4,.429,18.7,17.3,-2.31,-2.73,,,,
75,Brigham Young,MWC,4,8,.333,3,4,.429,16.3,25.8,-2.95,4.22,,,,
76,Nevada-Las Vegas,MWC,6,6,.500,2,5,.286,21.3,22.7,-0.26,0.91,,,,
77,Wyoming,MWC,4,8,.333,2,5,.286,23.8,30.0,-5.59,0.24,,,,
78,USC,Pac-10,12,1,.923,7,1,.875,41.1,18.4,23.14,3.60,8,1,1,
79,Washington State,Pac-10,10,3,.769,6,2,.750,30.3,19.8,12.31,3.00,,6,9,
80,Oregon,Pac-10,8,5,.615,5,3,.625,27.4,26.8,5.32,3.48,,10,,
81,California,Pac-10,8,6,.571,5,3,.625,32.6,24.4,9.73,4.51,,,,
82,Oregon State,Pac-10,8,5,.615,4,4,.500,33.3,23.2,7.98,1.82,,22,,
83,Washington,Pac-10,6,6,.500,4,4,.500,26.0,26.3,3.30,2.72,17,17,,
84,UCLA,Pac-10,6,7,.462,4,4,.500,19.1,23.5,0.56,3.94,,,,
85,Arizona State,Pac-10,5,7,.417,2,6,.250,24.8,27.3,-0.86,2.31,22,16,,
86,Stanford,Pac-10,4,7,.364,2,6,.250,16.9,29.5,-2.82,4.63,,,,
87,Arizona,Pac-10,2,10,.167,1,7,.125,15.1,35.8,-7.99,6.26,,,,
88,Georgia,SEC (East),11,3,.786,6,2,.750,26.5,14.5,17.46,6.11,11,4,7,
89,Tennessee,SEC (East),10,3,.769,6,2,.750,28.1,18.4,11.53,3.99,12,6,15,
90,Florida,SEC (East),8,5,.615,6,2,.750,30.0,20.8,10.67,6.75,,11,24,
91,South Carolina,SEC (East),5,7,.417,2,6,.250,22.3,26.2,3.27,6.77,,25,,
92,Kentucky,SEC (East),4,8,.333,1,7,.125,27.3,26.8,-0.16,0.34,,,,
93,Vanderbilt,SEC (East),2,10,.167,1,7,.125,19.6,29.8,-5.85,3.31,,,,
94,LSU,SEC (West),13,1,.929,7,1,.875,33.9,11.0,20.85,3.28,14,2,2,
95,Ole Miss,SEC (West),10,3,.769,7,1,.875,34.0,21.9,10.99,2.53,,13,13,
96,Auburn,SEC (West),8,5,.615,5,3,.625,26.3,16.3,8.09,4.70,6,6,,
97,Arkansas,SEC (West),9,4,.692,4,4,.500,33.5,23.5,12.67,4.51,,7,,
98,Alabama,SEC (West),4,9,.308,2,6,.250,25.5,25.6,5.27,7.27,,21,,
99,Mississippi State,SEC (West),2,10,.167,1,7,.125,18.8,39.3,-9.53,4.88,,,,
100,North Texas,Sun Belt,9,4,.692,7,0,1.000,27.5,21.9,-0.81,-5.43,,,,
101,Louisiana,Sun Belt,4,8,.333,3,2,.600,22.2,34.6,-12.05,-4.63,,,,
102,Arkansas State,Sun Belt,5,7,.417,3,3,.500,20.2,33.4,-14.49,-7.83,,,,
103,Middle Tennessee State,Sun Belt,4,8,.333,3,3,.500,27.7,31.3,-10.45,-5.62,,,,
104,Utah State,Sun Belt,3,9,.250,3,3,.500,22.0,26.3,-10.75,-4.75,,,,
105,Idaho,Sun Belt,3,9,.250,3,4,.429,20.7,26.2,-14.24,-7.66,,,,
106,New Mexico State,Sun Belt,3,9,.250,2,5,.286,21.8,28.4,-11.13,-4.96,,,,
107,Louisiana-Monroe,Sun Belt,1,11,.083,1,5,.167,19.9,38.9,-18.19,-5.77,,,,
108,Boise State,WAC,13,1,.929,8,0,1.000,43.0,17.1,8.92,-6.72,,16,16,
109,Fresno State,WAC,9,5,.643,6,2,.750,23.0,22.6,-1.69,-2.33,,,,
110,Tulsa,WAC,8,5,.615,6,2,.750,30.8,27.8,-0.63,-4.78,,,,
111,Hawaii,WAC,9,5,.643,5,3,.625,34.7,30.5,0.21,-4.29,,,,
112,Rice,WAC,5,7,.417,5,3,.625,28.6,31.5,-6.96,-4.71,,,,
113,Nevada,WAC,6,6,.500,4,4,.500,23.5,28.2,-5.46,-3.80,,,,
114,Louisiana Tech,WAC,5,7,.417,3,5,.375,25.8,32.8,-5.31,-1.14,,,,
115,San Jose State,WAC,3,8,.273,2,6,.250,23.5,35.1,-10.67,-5.12,,,,
116,UTEP,WAC,2,11,.154,1,7,.125,22.2,38.3,-20.78,-6.32,,,,
117,SMU,WAC,0,12,.000,0,8,.000,11.2,32.2,-18.53,-2.70,,,,
