Adair County  13-16 (13-16)
Allen County-Scottsville  13-14 (12-14)
Anderson County  17-9 (17-9)
Apollo  5-22 (5-18)
Ashland Blazer  27-0 (23-0)
Atherton  11-15 (11-15)
Augusta  12-17 (8-17)
Ballard  23-5 (17-4)
Ballard Memorial  4-24 (4-23)
Barbourville  11-13 (8-12)
Bardstown  20-8 (20-8)
Barren County  20-8 (20-7)
Bath County  15-14 (14-12)
Beechwood  20-9 (18-9)
Belfry  9-15 (8-14)
Bell County  11-16 (11-15)
Bellevue  3-23 (3-22)
Berea  19-8 (17-8)
Beth Haven  9-15 (8-14)
Bethlehem  10-18 (10-18)
Betsy Layne  16-10 (16-10)
Bishop Brossart  22-5 (22-5)
Boone County  5-22 (4-20)
Bourbon County  23-5 (23-5)
Bowling Green  22-6 (21-6)
Boyd County  16-12 (14-7)
Boyle County  11-13 (11-13)
Bracken County  11-18 (10-18)
Breathitt County  12-14 (11-14)
Breckinridge County  17-9 (17-8)
Brown  4-23 (4-21)
Bryan Station  12-16 (11-14)
Buckhorn  15-15 (13-14)
Bullitt Central  9-19 (9-19)
Bullitt East  13-14 (12-12)
Burgin  4-25 (4-24)
Butler  17-8 (17-8)
Butler County  18-8 (18-8)
Caldwell County  14-14 (14-12)
Calloway County  16-12 (13-11)
Calvary Christian  14-14 (13-12)
Campbell County  14-14 (12-14)
Campbellsville  13-13 (13-12)
Carlisle County  18-9 (17-9)
Carroll County  10-17 (10-17)
Casey County  3-26 (2-24)
Caverna  5-21 (5-21)
Central  8-19 (8-19)
Central Hardin  13-13 (12-11)
Christian Academy-Louisville  10-16 (10-15)
Christian County  10-18 (10-18)
Christian Fellowship  16-11 (11-10)
Clay County  20-8 (18-8)
Clinton County  21-6 (20-6)
Collins  21-7 (20-7)
Community Christian (Paducah)  1-28 (0-24)
Conner  19-5 (17-3)
Cooper  9-15 (9-13)
Corbin  15-11 (11-9)
Cordia  11-15 (10-15)
Covington Catholic  23-5 (17-2)
Covington Latin  0-16 (0-13)
Crittenden County  15-14 (13-12)
Cumberland County  6-19 (6-19)
Danville  18-10 (17-10)
Danville Christian  15-12 (12-11)
Daviess County  7-20 (7-19)
Dawson Springs  12-17 (11-17)
Dayton  10-19 (9-18)
DeSales  16-9 (14-7)
Dixie Heights  8-19 (8-18)
Doss  16-10 (13-9)
DuPont Manual  13-11 (13-11)
East Carter  10-13 (9-12)
East Jessamine  18-9 (17-9)
East Ridge  10-14 (10-12)
Eastern  19-9 (19-9)
Edmonson County  11-13 (11-13)
Elizabethtown  22-2 (22-2)
Elliott County  8-13 (8-11)
Eminence  4-24 (3-24)
Estill County  20-9 (18-9)
Evangel Christian  3-17 (3-17)
Fairdale  13-12 (12-11)
Fairview  7-17 (3-14)
Fern Creek  22-6 (22-5)
Fleming County  10-19 (9-19)
Floyd Central  6-21 (5-19)
Fort Campbell  8-19 (6-14)
Fort Knox  8-16 (7-16)
Frankfort  15-14 (15-11)
Frankfort Christian  2-24 (2-23)
Franklin County  15-13 (15-13)
Franklin-Simpson  13-13 (13-12)
Frederick Douglass  17-10 (17-10)
Frederick Fraize  3-22 (3-21)
Fulton City  11-12 (6-7)
Fulton County  12-13 (9-8)
Gallatin County  15-13 (14-13)
Garrard County  9-17 (6-17)
George Rogers Clark  21-7 (21-7)
Glasgow  13-13 (13-13)
Grant County  19-9 (17-8)
Graves County  11-18 (9-11)
Grayson County  8-19 (8-19)
Great Crossing  14-15 (13-15)
Green County  5-18 (5-17)
Greenup County  20-9 (12-7)
Greenwood  16-13 (15-12)
Hancock County  10-15 (9-12)
Harlan  12-15 (10-13)
Harlan County  19-10 (18-10)
Harrison County  5-23 (5-23)
Hart County  12-14 (12-14)
Hazard  23-4 (21-3)
Henderson County  19-10 (16-10)
Henry Clay  23-5 (22-3)
Henry County  17-12 (16-12)
Heritage Academy  7-17 (7-17)
Hickman County  10-15 (7-13)
Highlands  23-3 (21-3)
Holmes  11-15 (10-14)
Holy Cross (Covington)  14-11 (14-11)
Holy Cross (Louisville)  15-11 (11-10)
Hopkins County Central  8-19 (8-19)
Hopkinsville  13-16 (12-14)
Iroquois  16-13 (16-13)
Jackson City  13-13 (13-13)
Jackson County  12-16 (12-15)
Jeffersontown  17-7 (16-5)
Jenkins  1-22 (1-20)
John Hardin  27-2 (26-2)
Johnson Central  16-10 (15-8)
June Buchanan  2-18 (2-17)
Kentucky Country Day  13-12 (12-12)
Kentucky School f/t Deaf  0-13 (0-4)
Knott County Central  17-9 (17-9)
Knox Central  19-7 (17-7)
Lafayette  18-7 (17-6)
LaRue County  9-20 (8-20)
Lawrence County  18-10 (18-10)
Lee County  6-22 (4-22)
Leslie County  12-15 (12-15)
Letcher County Central  6-19 (5-19)
Lewis County  13-15 (13-15)
Lexington Catholic  26-2 (26-2)
Lexington Christian  18-10 (17-10)
Lincoln County  22-7 (22-7)
Livingston Central  3-25 (3-24)
Lloyd Memorial  14-12 (14-12)
Logan County  24-3 (24-3)
Louisville Collegiate  19-6 (19-6)
Ludlow  17-11 (16-10)
Lynn Camp  13-13 (8-12)
Lyon County  19-9 (19-8)
Madison Central  12-16 (12-16)
Madison Southern  15-13 (12-12)
Madisonville-North Hopkins  25-3 (24-3)
Magoffin County  15-13 (15-12)
Male  25-4 (22-2)
Marion County  19-7 (19-6)
Marshall County  19-10 (15-5)
Martin County  16-12 (15-11)
Mason County  16-10 (16-10)
Mayfield  17-9 (16-9)
McCracken County  25-5 (22-4)
McCreary Central  9-18 (8-18)
McLean County  18-10 (14-10)
Meade County  8-15 (8-14)
Menifee County  10-18 (10-17)
Mercer County  15-13 (12-13)
Metcalfe County  14-14 (14-14)
Middlesboro  19-9 (17-9)
Model  9-19 (7-18)
Monroe County  10-16 (9-16)
Montgomery County  18-11 (18-11)
Moore  9-15 (9-14)
Morgan County  9-17 (9-17)
Muhlenberg County  17-11 (16-9)
Murray  22-6 (19-5)
Nelson County  11-18 (11-18)
Newport  13-13 (11-10)
Newport Central Catholic  16-8 (13-6)
Nicholas County  4-24 (4-24)
North Bullitt  21-8 (18-8)
North Hardin  11-16 (11-16)
North Laurel  20-8 (18-6)
North Oldham  15-12 (14-12)
Ohio County  22-6 (21-6)
Oldham County  25-3 (23-2)
Oneida Baptist Institute  11-17 (11-15)
Owen County  7-22 (7-22)
Owensboro  16-10 (15-9)
Owensboro Catholic  17-12 (17-11)
Owsley County  10-14 (9-14)
Paducah Tilghman  19-9 (16-5)
Paintsville  14-11 (14-11)
Paris  9-17 (9-16)
Paul Laurence Dunbar  11-17 (11-17)
Pendleton County  11-17 (11-17)
Perry County Central  11-16 (9-14)
Phelps  17-10 (11-6)
Piarist School  7-20 (7-18)
Pike County Central  14-10 (12-8)
Pikeville  10-15 (6-13)
Pineville  16-9 (16-9)
Pleasure Ridge Park  8-17 (8-15)
Portland Christian  6-19 (6-19)
Powell County  8-16 (8-15)
Prestonsburg  23-5 (20-4)
Pulaski County  17-8 (15-7)
Raceland  7-20 (4-17)
Red Bird  21-5 (21-5)
Robertson County  7-19 (7-19)
Rockcastle County  5-20 (1-17)
Rose Hill Christian  22-7 (19-6)
Rowan County  10-14 (8-12)
Russell  13-15 (12-14)
Russell County  6-19 (4-18)
Russellville  12-15 (12-15)
Sayre  15-14 (14-14)
Scott  6-20 (6-19)
Scott County  15-14 (13-14)
Seneca  19-8 (19-8)
Shawnee  14-11 (13-11)
Shelby County  5-21 (5-21)
Shelby Valley  22-6 (21-4)
Simon Kenton  19-9 (19-9)
Somerset  22-5 (19-5)
South Laurel  24-4 (23-4)
South Oldham  20-8 (20-7)
South Warren  14-14 (13-13)
Southern  5-17 (5-16)
Southwestern  15-13 (11-11)
Spencer County  20-7 (20-7)
St. Francis  6-17 (6-15)
St. Henry  21-4 (21-4)
St. Mary  12-18 (11-16)
St. Patrick  5-23 (5-20)
St. Xavier  17-9 (15-8)
Tates Creek  15-12 (15-12)
Taylor County  13-15 (13-15)
Thomas Nelson  9-17 (8-17)
Todd County Central  6-20 (4-20)
Trigg County  10-18 (8-16)
Trimble County  7-19 (7-16)
Trinity (Louisville)  15-14 (12-12)
Trinity (Whitesville)  9-20 (9-20)
Union County  9-19 (7-17)
University Heights  14-11 (12-10)
Valley  5-19 (5-19)
Villa Madonna  6-22 (6-16)
Waggener  16-10 (16-10)
Walden  19-10 (16-9)
Walton-Verona  12-17 (12-17)
Warren Central  21-6 (20-6)
Warren East  5-20 (5-20)
Washington County  4-25 (3-25)
Wayne County  17-11 (14-9)
Webster County  22-5 (18-4)
West Carter  14-12 (14-12)
West Jessamine  15-11 (15-11)
Western  14-13 (14-13)
Western Hills  14-14 (12-14)
Whitefield Academy  14-12 (13-12)
Whitley County  12-17 (9-15)
Williamsburg  15-12 (10-11)
Williamstown  12-16 (12-16)
Wolfe County  18-8 (18-8)
Woodford County  16-14 (16-14)
