Rank,Name,Rating,InState,Total,
1,Bell County,80.48,14-0,14-0,
2,Belfry,78.11,10-2,10-3,
3,Ashland Blazer,75.68,8-1,10-3,
4,Russell,75.67,9-2,9-3,
5,DeSales,72.35,10-4,10-4,
6,Taylor County,68.86,11-3,11-3,
7,Glasgow,68.6,10-2,10-2,
8,Bardstown,67.11,10-3,10-3,
9,Elizabethtown,65.44,9-3,9-3,
10,Christian Academy-Louisville,64.58,7-5,7-5,
11,Paducah Tilghman,64.12,9-4,9-4,
12,Mercer County,61.79,8-3,8-3,
13,Fleming County,61,10-3,10-3,
14,Rockcastle County,60.02,8-4,8-4,
15,Pike County Central,53.92,7-4,8-4,
16,East Carter,53.52,6-4,7-4,
17,Greenup County,49.63,3-5,4-7,
18,Union County,47.9,6-6,6-6,
19,Trigg County,46.49,6-5,6-5,
20,LaRue County,45.98,5-6,5-6,
21,Casey County,45.4,5-6,5-6,
22,Mason County,44.97,6-6,6-6,
23,Lawrence County,44.3,4-7,4-7,
24,Estill County,43.1,5-6,5-6,
25,Garrard County,36.48,4-7,4-7,
26,Western Hills,35.58,3-8,3-8,
27,Pendleton County,34.33,5-6,5-6,
28,Floyd Central,32.55,3-8,3-8,
29,Magoffin County,32.28,3-7,3-7,
30,Adair County,31.18,2-9,2-9,
31,Powell County,30.06,3-8,3-8,
32,Hart County,28.75,3-7,3-7,
33,Henry County,22.07,1-9,1-9,
34,Webster County,21.78,3-8,3-8,
35,Jackson County,20.45,2-8,2-8,
36,Thomas Nelson,20.21,1-10,1-10,
37,McCreary Central,18.62,1-8,1-9,
38,Lewis County,12.64,0-10,0-10,
39,Nelson County,8.76,0-10,0-10,
