Rank,Name of Team,Rating,In-State Record,Total Record,
1,Covington Catholic,88.43,`9-0,`10-0,
2,Frederick Douglass,79.35,`9-0,`9-0,
3,Scott County,78.26,`8-1,`9-1,
4,South Oldham,77.56,`8-1,`8-1,
5,Owensboro,77.21,`8-0,`8-1,
6,South Warren,75.1,`8-1,`8-1,
7,Bowling Green,72.41,`6-1,`6-2,
8,Highlands,70.18,`6-3,`6-4,
9,Pulaski County,69.02,`7-2,`7-2,
10,Conner,68.24,`7-2,`7-2,
11,East Jessamine,62.41,`7-2,`7-2,
12,Fairdale,61.72,`8-1,`8-1,
13,Cooper,60.08,`5-5,`5-5,
14,Whitley County,56.05,`5-3,`6-3,
15,Graves County,55.32,`5-4,`5-4,
16,North Bullitt,53.33,`6-4,`6-4,
17,Madison Southern,52.03,`5-4,`5-4,
18,Southwestern,51.72,`4-5,`4-5,
19,North Laurel,50.61,`5-4,`5-4,
20,Grayson County,48.61,`6-3,`6-3,
21,Greenwood,47.62,`5-4,`5-4,
22,Woodford County,47.28,`5-4,`5-4,
23,Montgomery County,45.56,`3-6,`3-6,
24,Bullitt Central,44.65,`4-5,`4-5,
25,Boone County,43.23,`2-7,`2-7,
26,Doss,40.09,`4-5,`4-5,
27,Atherton,38.8,`4-5,`4-5,
28,Jeffersontown,38.77,`4-5,`4-5,
29,Breckinridge County,38.57,`5-4,`5-4,
30,Collins,37.57,`2-7,`2-7,
31,Muhlenberg County,35.92,`3-6,`3-6,
32,Ohio County,35.69,`3-6,`3-6,
33,South Laurel,35.4,`2-7,`2-7,
34,Grant County,35.15,`3-6,`3-6,
35,Christian County,34.12,`0-8,`0-9,
36,Great Crossing,29.72,`1-8,`1-8,
37,Seneca,25.69,`2-7,`2-7,
38,Iroquois,23.92,`1-8,`1-8,
39,West Jessamine,19.1,`0-9,`0-9,
40,Western,8.67,`0-10,`0-10,
