Rank,Region_Of_Team,Name_Of_Team,Rating,In_State_Record,Total_Record
1,5,South Warren,92.474959,13-0,15-0
2,6,Male,90.19607,13-1,14-1
3,2,Christian Academy-Louisville,90.064058,15-0,15-0
4,5,Covington Catholic,88.678295,11-1,14-1
5,6,Frederick Douglass,86.378351,11-1,11-1
6,4,Johnson Central,85.97224,12-1,13-2
7,4,Franklin-Simpson,84.995533,14-1,14-1
8,3,Boyle County,84.709194,13-1,13-1
9,2,Mayfield,84.460719,13-1,14-1
10,6,Scott County,83.351922,10-3,11-4
11,3,Corbin,83.280586,13-2,13-2
12,6,St. Xavier,82.221992,9-3,9-4
13,5,South Oldham,79.7584,12-2,12-2
14,1,Beechwood,79.524422,12-2,12-2
15,6,Simon Kenton,78.856795,10-3,10-3
16,3,Central,78.75668,13-2,13-2
17,6,Trinity (Louisville),76.229998,7-3,7-7
18,5,Highlands,75.449641,10-3,10-3
19,2,DeSales,74.874253,11-2,11-2
20,5,Bowling Green,74.408767,9-2,9-3
21,3,Belfry,74.132342,9-2,10-3
22,1,Pikeville,74.011112,9-2,11-3
23,5,Anderson County,73.208436,10-1,10-1
24,2,Somerset,72.433192,11-3,11-3
25,4,Ashland Blazer,71.123737,9-2,11-2
26,6,North Hardin,70.842513,8-3,9-3
27,5,Owensboro,70.61562,9-3,10-3
28,1,Paintsville,70.443236,10-3,10-3
29,5,Southwestern,70.228306,9-3,10-3
30,4,Taylor County,70.163676,12-2,12-2
31,5,Pulaski County,69.539402,10-3,11-3
32,1,Raceland,69.188842,9-3,11-3
33,6,Butler,68.744712,8-4,8-4
34,4,Knox Central,67.87049,10-3,10-4
35,3,Bell County,67.815325,11-2,11-2
36,4,Wayne County,67.429709,8-4,8-4
37,4,Franklin County,67.381308,10-3,10-3
38,2,Glasgow,67.243189,11-2,11-2
39,4,Logan County,66.671301,10-2,10-2
40,5,Oldham County,66.40507,10-2,10-2
41,6,Madison Central,66.122174,10-4,10-4
42,5,Montgomery County,66.033238,9-3,9-3
43,3,Lexington Catholic,65.99182,8-4,8-4
44,6,Conner,65.78488,9-4,9-4
45,3,Paducah Tilghman,65.414495,8-3,9-3
46,4,Moore,65.049564,11-2,11-2
47,2,Walton-Verona,64.670592,11-3,11-3
48,6,Campbell County,64.645828,6-4,6-5
49,6,Ballard,64.608114,8-5,8-5
50,4,Madisonville-North Hopkins,64.251897,10-3,10-3
51,3,Elizabethtown,63.635412,8-5,8-5
52,1,Campbellsville,63.399214,11-2,11-2
53,2,Lexington Christian,63.070257,8-4,9-4
54,6,McCracken County,62.368871,6-3,8-4
55,6,Henry Clay,62.186663,6-6,6-6
56,3,Caldwell County,61.820384,8-4,8-4
57,1,Williamsburg,61.719837,8-3,9-3
58,2,Owensboro Catholic,60.406861,7-3,8-4
59,3,Western Hills,60.072298,7-4,7-4
60,3,Russell,59.807416,8-4,8-5
61,1,Crittenden County,59.474168,10-2,11-2
62,3,Waggener,59.407416,8-4,8-4
63,6,DuPont Manual,59.059331,6-5,6-5
64,3,Powell County,59.046077,9-3,9-3
65,2,Shelby Valley,58.683888,10-1,10-2
66,1,Lynn Camp,58.439971,9-2,10-2
67,6,George Rogers Clark,58.235937,7-4,7-4
68,5,Fern Creek,58.126281,8-5,8-5
69,3,Casey County,57.943236,8-3,8-3
70,6,Daviess County,57.632872,6-4,6-5
71,1,Hazard,57.63195,7-4,7-4
72,6,Henderson County,57.071908,5-4,7-5
73,3,LaRue County,56.255657,8-6,8-6
74,6,Tates Creek,56.002013,5-6,5-6
75,5,Grayson County,55.769431,8-4,8-4
76,4,John Hardin,55.008137,8-4,8-4
77,3,Lawrence County,54.61138,7-5,7-5
78,5,Lincoln County,54.593708,7-5,7-5
79,4,Scott,54.592673,7-4,7-5
80,3,Union County,54.186578,7-4,7-4
81,2,Clinton County,54.046344,8-1,9-1
82,1,Frankfort,53.759263,7-4,8-4
83,6,Cooper,53.690285,5-7,5-7
84,4,Greenup County,53.630566,6-5,6-5
85,5,Perry County Central,53.544554,8-3,8-3
86,2,Danville,53.412679,5-7,5-7
87,2,Murray,53.20573,8-5,8-5
88,3,Bath County,52.592583,7-4,7-4
89,5,Bullitt Central,52.548897,7-5,7-5
90,4,Warren East,52.317459,6-4,6-5
91,2,Lloyd Memorial,52.238876,7-5,7-5
92,2,McLean County,51.661326,8-4,8-4
93,5,Christian County,51.409024,4-6,4-7
94,1,Ludlow,51.111686,8-4,8-4
95,4,Allen County-Scottsville,50.864883,6-5,6-5
96,5,Graves County,50.769922,5-6,5-6
