Name,Region,Record,In_State_Record,Rating
Trinity (Louisville),6,13-2,9-1,96.22
Covington Catholic,5,15-0,14-0,94.77
Male,6,14-1,13-1,93.89
Johnson Central,4,15-0,12-0,93.44
Boyle County,4,14-1,14-1,87.89
North Hardin,6,13-1,13-1,87.8
Somerset,2,14-1,14-1,87.18
Frederick Douglass,5,14-1,14-1,85.17
Pikeville,1,14-0,12-0,84.57
Owensboro,5,12-2,12-1,82.36
South Oldham,5,11-2,11-2,81.63
Mayfield,2,13-2,12-2,81.2
Belfry,3,11-3,11-2,81
St. Xavier,6,8-5,8-4,79.15
Bell County,3,14-1,14-1,78.13
Wayne County,4,10-2,10-2,77.97
South Warren,5,10-2,10-2,77.71
Scott County,5,10-2,9-2,77.4
Lexington Christian,2,10-2,9-2,76.76
Bowling Green,5,9-4,9-3,76.5
Ashland Blazer,3,10-3,8-1,75.84
Russell,3,9-3,9-2,75.71
DuPont Manual,6,9-3,9-3,74.99
Franklin County,4,11-1,11-1,74.32
DeSales,3,10-4,10-4,72.43
Kentucky Country Day,1,13-1,13-1,71.55
Fern Creek,6,8-4,7-4,71.29
Simon Kenton,6,8-5,7-3,71.19
Central Hardin,6,9-3,9-3,71.09
Madisonville-North Hopkins,4,11-3,11-3,70.75
Paintsville,1,11-4,10-4,69.93
Tates Creek,6,9-5,9-5,69.06
Taylor County,3,11-3,11-3,68.74
Breathitt County,2,13-1,13-1,68.65
McCracken County,6,9-4,8-4,68.63
Glasgow,3,10-2,10-2,68.58
Bardstown,3,10-3,10-3,67.27
Central,4,8-6,8-6,67.02
Highlands,5,6-5,6-4,66.72
Beechwood,2,8-6,8-5,66.69
Lexington Catholic,4,7-5,6-5,66.55
Conner,5,8-4,8-4,66.15
Ballard,6,6-6,6-6,65.87
Newport Central Catholic,1,10-3,10-2,65.78
Elizabethtown,3,9-3,9-3,65.48
Christian Academy-Louisville,3,7-5,7-5,64.5
Williamsburg,1,10-3,9-3,64.4
Oldham County,6,8-5,8-5,64
Paducah Tilghman,3,9-4,9-4,64
Holy Cross (Louisville),1,11-3,10-3,63.95
Shelby Valley,2,9-3,9-2,63.53
Pulaski County,5,7-4,7-4,62.86
Harlan County,4,8-4,8-4,62.48
Fairdale,5,11-2,11-2,61.97
East Jessamine,5,9-3,9-3,61.93
Mercer County,3,8-3,8-3,61.69
Henderson County,6,8-4,6-4,61.4
Logan County,4,8-3,8-3,61.39
Fleming County,3,10-3,10-3,60.9
Corbin,4,6-5,5-5,60.52
Hopkinsville,4,8-4,7-4,60.24
Caldwell County,2,8-3,8-3,60.05
Rockcastle County,3,8-4,8-4,59.88
Scott,4,8-5,8-4,59.86
Cooper,5,5-6,5-6,59.58
West Carter,2,9-4,9-4,59.49
Murray,2,8-4,8-4,59.03
Ryle,6,5-6,5-5,58.79
George Rogers Clark,6,7-5,7-5,58.49
Southwestern,5,7-6,7-6,58.09
Owensboro Catholic,2,9-3,8-3,58.07
Graves County,5,7-5,7-5,58
Raceland,1,7-5,6-5,57.88
Whitley County,5,8-4,7-4,57.31
Shelby County,4,6-5,6-5,56.47
Hazard,1,7-5,7-5,56.24
Eminence,1,9-3,9-3,56.13
Franklin-Simpson,4,7-6,7-5,55.31
Madison Southern,5,7-6,7-6,55.19
Bullitt East,6,5-6,5-6,55.13
Butler,6,4-7,4-7,55.07
Crittenden County,1,10-3,10-3,54.98
Walton-Verona,2,8-5,8-4,54.75
North Bullitt,5,7-5,7-5,54.29
Pike County Central,3,8-4,7-4,54.28
Dixie Heights,6,5-7,5-7,54.18
Newport,2,8-4,8-4,53.9
Holmes,4,8-4,8-4,53.65
East Carter,3,7-4,6-4,53.54
Lloyd Memorial,2,6-5,6-5,53.53
