date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,win_id,lose_id
2000-08-18,Apollo,Union County,33,28,1,,0,0,183,120
2000-08-18,Bellevue,Pike County Central,60,0,1,Pike County Bowl,0,0,13,93
2000-08-18,Berea,Caverna,67,20,0,,0,0,17,212
2000-08-18,Betsy Layne,Allen Central,18,12,1,,0,0,97,209
2000-08-18,Campbellsville,Lynn Camp,54,3,0,,0,0,5,44
2000-08-18,Central,Fern Creek,20,0,0,,0,0,133,179
2000-08-18,Christian Academy-Louisville,Owen County,27,18,1,,0,0,8,58
2000-08-18,Doss,Iroquois,15,6,0,,0,0,164,213
2000-08-18,DuPont Manual,Bardstown,28,24,0,,0,0,158,3
2000-08-18,Eastern,Pleasure Ridge Park,28,11,1,,0,0,172,163
2000-08-18,Eminence,Trimble County,36,26,0,,0,0,206,6
2000-08-18,Evarts,South Floyd,42,18,1,,0,0,39,41
2000-08-18,Frankfort,Powell County,28,20,1,(overtime),1,0,9,95
2000-08-18,George Rogers Clark,South Laurel,37,36,0,,0,0,199,201
2000-08-18,Glasgow,Logan County,42,6,1,,0,0,60,124
2000-08-18,Grayson County,Butler County,43,6,1,,0,0,190,72
2000-08-18,Greenup County,Lloyd Memorial,29,7,0,,0,0,143,51
2000-08-18,Harlan,Cawood,27,26,0,RAX Bowl,0,0,38,147
2000-08-18,Harrison County,Mercer County,34,0,2,Death Valley Bowl,0,0,100,50
2000-08-18,Harrodsburg,Shelby Valley,41,6,0,Pike County Bowl,0,0,7,94
2000-08-18,Henry Clay,Tates Creek,20,19,0,,0,0,169,196
2000-08-18,Johnson Central,Leslie County,20,12,1,Big Sandy Bowl,0,0,194,92
2000-08-18,Lewis County,Fairview,37,22,1,,0,0,207,19
2000-08-18,Magoffin County,Estill County,30,2,1,,0,0,148,96
2000-08-18,McCreary Central,Jenkins,84,0,1,,0,0,131,214
2000-08-18,Meade County,LaRue County,21,10,0,,0,0,157,75
2000-08-18,Muhlenberg South,Edmonson County,26,25,1,(overtime),1,0,65,66
2000-08-18,Murray,Crittenden County,37,0,1,,0,0,25,28
2000-08-18,Nicholas County,Bath County,54,0,0,,0,0,14,59
2000-08-18,Ohio County,McLean County,26,21,1,,0,0,189,67
2000-08-18,Owensboro,Daviess County,28,0,0,,0,0,112,186
2000-08-18,Paducah Tilghman,Madisonville-North Hopkins,24,7,1,,0,0,114,185
2000-08-18,Paintsville,Fleming County,26,14,2,Big Sandy Bowl,0,0,35,52
2000-08-18,Paris,Ludlow,28,6,0,,0,0,16,22
2000-08-18,Raceland,East Carter,33,20,1,,0,0,21,152
2000-08-18,Rockcastle County,Lincoln County,24,14,0,Death Valley Bowl,0,0,140,129
2000-08-18,Russell County,Adair County,38,13,0,,0,0,77,136
2000-08-18,Russellville,Fulton County,56,0,0,,0,0,29,32
2000-08-18,Shawnee,Atherton,65,21,0,,0,0,81,137
2000-08-18,Sheldon Clark,Knott County Central,46,0,1,,0,0,141,151
2000-08-18,Simon Kenton,Woodford County,33,14,0,,0,0,174,203
2000-08-18,Taylor County,Hart County,33,6,1,,0,0,84,68
2000-08-18,Trigg County,Webster County,39,19,1,,0,0,24,63
2000-08-18,Waggener,Anderson County,50,12,1,,0,0,127,107
2000-08-18,Warren East,Monroe County,14,6,0,,0,0,119,64
2000-08-18,Whitley County,North Laurel,42,14,0,,0,0,142,204
2000-08-19,Belfry,Bourbon County,35,26,2,Pike County Bowl,0,0,91,103
2000-08-19,Bowling Green,Christian County,20,9,1,Greenview Bowl,0,0,113,192
2000-08-19,Boyle County,Breathitt County,69,8,2,Recreation Bowl,0,0,46,87
2000-08-19,Casey County,Bethlehem,34,13,0,,0,0,79,210
2000-08-19,Danville,Corbin,35,6,1,Constitution Bowl,0,0,1,74
2000-08-19,East Jessamine,Western Hills,28,14,1,,0,0,126,104
2000-08-19,Fleming-Neon,Morgan County,66,19,2,Letcher County Bowl,0,0,36,98
2000-08-19,Franklin County,West Jessamine,28,7,2,,0,0,102,54
2000-08-19,Franklin-Simpson,Garrard County,31,10,2,Constitution Bowl,0,0,117,57
2000-08-19,Highlands,Trinity (Louisville),42,29,2,Recreation Bowl,0,0,99,168
2000-08-19,Holy Cross (Louisville),Todd County Central,34,6,0,,0,0,4,31
2000-08-19,Lexington Catholic,Covington Catholic,28,13,1,,0,0,47,106
2000-08-19,Madison Southern,Williamsburg,41,8,1,Eagle Classic,0,0,134,42
2000-08-19,Middlesboro,Clay County,34,6,0,,0,0,88,200
2000-08-19,Oldham County,Ballard,48,9,1,Oldham County Kickoff Classic,0,0,155,175
2000-08-19,Pikeville,Lawrence County,46,36,1,Pike County Bowl,0,0,33,146
2000-08-19,Prestonsburg,Perry County Central,45,15,2,Appalachian Bowl,0,0,89,205
2000-08-19,Scott County,Grant County,48,12,1,Scott County Bowl,0,0,177,109
2000-08-19,South Oldham,Henry County,33,0,2,Oldham County Kickoff Classic,0,0,159,55
2000-08-19,St. Xavier,Madison Central,56,3,2,Bluegrass Bowl,0,0,154,198
2000-08-19,Warren Central,Greenwood,12,9,2,Greenview Bowl,0,0,115,191
2000-08-19,Whitesburg,Pineville,20,6,1,Pine Mountain Classic,0,0,90,37
2000-08-25,Adair County,Metcalfe County,48,24,0,,0,0,136,11
2000-08-25,Anderson County,West Jessamine,15,13,0,,0,0,107,54
2000-08-25,Ashland Blazer,Raceland,46,0,2,,0,0,144,21
2000-08-25,Ballard,Butler,30,22,0,,0,0,175,162
2000-08-25,Belfry,Montgomery County,43,21,1,,0,0,91,111
2000-08-25,Bellevue,Dayton,48,0,0,,0,0,13,18
2000-08-25,Boone County,Covington Catholic,37,12,0,,0,0,173,106
2000-08-25,Bourbon County,Lafayette,36,31,1,,0,0,103,202
2000-08-25,Boyle County,Southwestern,44,14,2,,0,0,46,128
2000-08-25,Breckinridge County,Ohio County,33,12,1,,0,0,125,189
2000-08-25,Calloway County,Graves County,33,21,1,,0,0,116,188
2000-08-25,Campbellsville,Washington County,14,0,0,,0,0,5,78
2000-08-25,Casey County,Caverna,56,6,0,,0,0,79,212
2000-08-25,Cawood,Lynn Camp,27,16,1,,0,0,147,44
2000-08-25,Central Hardin,Elizabethtown,10,0,0,,0,0,166,80
2000-08-25,Clay County,Leslie County,29,12,1,,0,0,200,92
2000-08-25,Crittenden County,Heath,17,6,0,,0,0,28,70
2000-08-25,Cumberland,Jenkins,48,0,0,,0,0,40,214
2000-08-25,Danville,Breathitt County,28,0,2,Pride of the Mountains Gridiron Classic,0,0,1,87
2000-08-25,Daviess County,Bullitt Central,14,7,0,,0,0,186,167
2000-08-25,Dixie Heights,Campbell County,28,18,0,,0,0,105,180
2000-08-25,Doss,Shelby County,18,7,1,,0,0,164,165
2000-08-25,DuPont Manual,Iroquois,48,0,0,,0,0,158,213
2000-08-25,Eminence,Christian Academy-Louisville,30,0,1,,0,0,206,8
2000-08-25,Estill County,Bath County,22,14,1,,0,0,96,59
2000-08-25,Fairdale,Southern,41,0,0,,0,0,161,181
2000-08-25,Fleming County,Rowan County,20,19,0,,0,0,52,149
2000-08-25,Franklin County,Fort Knox,37,0,0,,0,0,102,85
2000-08-25,Franklin-Simpson,Russellville,14,13,0,,0,0,117,29
2000-08-25,Glasgow,Barren County,44,8,1,,0,0,60,187
2000-08-25,Grant County,Trimble County,46,27,1,St. Elizabeth Summer Classic,0,0,109,6
2000-08-25,Green County,Hart County,58,0,1,,0,0,73,68
2000-08-25,Greenup County,Russell,21,13,1,,0,0,143,49
2000-08-25,Hancock County,Grayson County,24,18,0,,0,0,27,190
2000-08-25,Harlan,Fleming-Neon,20,14,1,,0,0,38,36
2000-08-25,Harrison County,George Rogers Clark,35,6,0,,0,0,100,199
2000-08-25,Hazard,Knott County Central,22,12,1,Pride of the Mountains Gridiron Classic,0,0,34,151
2000-08-25,Henry County,Atherton,39,0,1,,0,0,55,137
2000-08-25,Holy Cross (Louisville),DeSales,21,13,1,,0,0,4,83
2000-08-25,Jeffersontown,Moore,26,15,1,,0,0,178,76
2000-08-25,Kentucky Country Day,Carroll County,35,6,0,,0,0,208,10
2000-08-25,LaRue County,Greenwood,40,26,0,,0,0,75,191
2000-08-25,Lloyd Memorial,Scott,14,6,0,,0,0,51,110
2000-08-25,Logan County,Butler County,37,6,0,,0,0,124,72
2000-08-25,Lone Oak,Reidland,21,14,0,,0,0,121,61
2000-08-25,Madisonville-North Hopkins,Hopkins County Central,27,14,1,,0,0,185,118
2000-08-25,Male,Nelson County,40,0,1,,0,0,153,160
2000-08-25,Mason County,East Carter,48,0,0,,0,0,48,152
2000-08-25,Mayfield,Marshall County,19,14,1,,0,0,23,184
2000-08-25,McCreary Central,Evarts,40,26,2,Alumni Bowl,0,0,131,39
2000-08-25,McLean County,Fort Campbell,7,6,0,(District Game),0,0,67,71
2000-08-25,Mercer County,Harrodsburg,35,14,1,,0,0,50,7
2000-08-25,Muhlenberg North,Muhlenberg South,28,21,0,,0,0,123,65
2000-08-25,Newport Central Catholic,Newport,41,14,0,,0,0,15,56
2000-08-25,Nicholas County,West Carter,49,8,1,,0,0,14,53
2000-08-25,North Bullitt,Marion County,7,6,0,,0,0,130,138
2000-08-25,Oldham County,Eastern,7,6,1,,0,0,155,172
2000-08-25,Owen County,Bethlehem,22,12,1,,0,0,58,210
2000-08-25,Owensboro,Owensboro Catholic,34,7,0,,0,0,112,69
2000-08-25,Paintsville,Allen Central,40,6,1,,0,0,35,209
2000-08-25,Paris,Fairview,50,6,0,(District Game),0,0,16,19
2000-08-25,Paul Laurence Dunbar,Bryan Station,34,22,2,,0,0,195,171
2000-08-25,Pikeville,Prestonsburg,26,13,0,,0,0,33,89
2000-08-25,Powell County,Betsy Layne,52,6,1,,0,0,95,97
2000-08-25,Rockcastle County,South Laurel,43,14,0,,0,0,140,201
2000-08-25,Seneca,Valley,56,6,1,,0,0,176,139
2000-08-25,Simon Kenton,Holmes,40,7,1,,0,0,174,101
2000-08-25,Somerset,Pulaski County,21,0,0,,0,0,2,135
2000-08-25,St. Xavier,Bullitt East,41,0,2,,0,0,154,132
2000-08-25,Taylor County,Edmonson County,49,0,1,,0,0,84,66
2000-08-25,Trigg County,Caldwell County,54,47,0,,0,0,24,62
2000-08-25,Trinity (Louisville),North Hardin,43,7,1,,0,0,168,156
2000-08-25,Waggener,Western,49,0,0,,0,0,127,86
2000-08-25,Warren East,Todd County Central,14,0,1,,0,0,119,31
2000-08-25,Wayne County,North Laurel,19,18,0,(overtime),1,0,82,204
2000-08-25,Webster County,Union County,24,14,0,,0,0,63,120
2000-08-26,Beechwood,Sheldon Clark,21,6,1,Champions Bowl,0,0,12,141
2000-08-26,Bell County,Madison Central,28,24,1,,0,0,145,198
2000-08-26,Bowling Green,Scott County,7,3,0,New Image Grid-Iron Bowl,0,0,113,177
