date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,lose_id,win_id
2017-08-18,Anderson County,George Rogers Clark,27,14,0,,0,0,82,3
2017-08-18,Apollo,Muhlenberg County,50,22,1,,0,0,147,4
2017-08-18,Bell County,Middlesboro,42,21,1,,0,0,142,14
2017-08-18,Bourbon County,Somerset,36,29,2,,0,0,191,21
2017-08-18,Butler,Bullitt East,53,0,0,,0,0,30,31
2017-08-18,Campbell County,Dixie Heights,27,23,1,,0,0,56,35
2017-08-18,Casey County,Barren County,50,7,1,,0,0,10,38
2017-08-18,Central,DuPont Manual,7,0,0,,0,0,58,40
2017-08-18,Christian Academy-Louisville,South Oldham,28,14,1,,0,0,193,42
2017-08-18,Christian County,Caldwell County,27,10,0,,0,0,33,43
2017-08-18,Clinton County,Fort Knox,40,18,1,,0,0,73,45
2017-08-18,Covington Catholic,Ryle,49,17,1,,0,0,182,50
2017-08-18,DeSales,Ballard,37,22,1,,0,0,7,55
2017-08-18,Doss,Jeffersontown,42,0,0,,0,0,107,57
2017-08-18,East Carter,Magoffin County,36,6,0,,0,0,130,59
2017-08-18,Eastern,Iroquois,50,13,1,,0,0,105,62
2017-08-18,Edmonson County,Caverna,54,6,1,,0,0,39,63
2017-08-18,Elizabethtown,Franklin-Simpson,55,23,0,,0,0,76,64
2017-08-18,Eminence,Trimble County,28,0,0,,0,0,204,65
2017-08-18,Fern Creek,Seneca,52,0,1,,0,0,185,69
2017-08-18,Floyd Central,Harlan,28,12,0,,0,0,91,71
2017-08-18,Fort Campbell,Marshall County,18,12,1,,0,0,133,72
2017-08-18,Frankfort,Thomas Nelson,35,20,1,,0,0,201,74
2017-08-18,Franklin County,Western Hills,24,20,1,,0,0,218,75
2017-08-18,Garrard County,Powell County,38,0,1,,0,0,173,81
2017-08-18,Glasgow,Russellville,21,13,1,,0,0,181,83
2017-08-18,Graves County,Murray,40,24,0,,0,0,148,85
2017-08-18,Green County,Adair County,14,6,2,,0,0,1,87
2017-08-18,Greenup County,Lewis County,62,10,1,,0,0,119,88
2017-08-18,Greenwood,Warren Central,37,12,0,,0,0,210,89
2017-08-18,Hancock County,Grayson County,33,14,1,,0,0,86,90
2017-08-18,Henry County,Oldham County,20,14,1,(overtime),1,0,158,98
2017-08-18,Highlands,Cooper,42,22,0,,0,0,48,99
2017-08-18,Hopkins County Central,Webster County,61,6,1,,0,0,214,103
2017-08-18,Jackson County,Berea,38,0,1,,0,0,16,106
2017-08-18,Kentucky Country Day,Atherton,49,21,0,,0,0,6,111
2017-08-18,Knott County Central,Lynn Camp,24,20,0,,0,0,126,112
2017-08-18,Knox Central,Letcher County Central,27,20,0,,0,0,118,113
2017-08-18,LaRue County,Marion County,49,8,0,,0,0,132,114
2017-08-18,Lafayette,Bryan Station,28,0,1,,0,0,28,115
2017-08-18,Leslie County,Pineville,47,22,1,,0,0,171,117
2017-08-18,Lincoln County,Clay County,42,6,1,,0,0,44,122
2017-08-18,Lloyd Memorial,West Jessamine,34,14,2,,0,0,216,123
2017-08-18,Logan County,Butler County,42,24,0,,0,0,32,124
2017-08-18,Ludlow,Carroll County,56,39,0,,0,0,37,125
2017-08-18,Monroe County,Trigg County,37,19,2,,0,0,203,143
2017-08-18,Moore,Southern,35,6,0,,0,0,195,145
2017-08-18,Newport Central Catholic,Scott,17,7,0,,0,0,183,151
2017-08-18,Nicholas County,Bellevue,38,36,1,(overtime),1,0,15,152
2017-08-18,North Laurel,South Laurel,36,12,1,,0,0,192,155
2017-08-18,Ohio County,McLean County,40,38,1,,0,0,138,157
2017-08-18,Owen County,Grant County,19,0,1,,0,0,84,159
2017-08-18,Owensboro,Madisonville-North Hopkins,41,19,0,,0,0,129,160
2017-08-18,Owensboro Catholic,Daviess County,33,31,1,,0,0,53,161
2017-08-18,Paintsville,Estill County,41,14,0,,0,0,66,163
2017-08-18,Paris,Bethlehem,26,7,0,,0,0,17,164
2017-08-18,Pendleton County,Gallatin County,20,13,1,,0,0,80,166
2017-08-18,Perry County Central,McCreary Central,64,58,0,(Four overtimes),1,0,137,167
2017-08-18,Pikeville,Holy Cross (Covington),51,14,1,,0,0,101,170
2017-08-18,Pleasure Ridge Park,Valley,41,6,0,,0,0,207,172
2017-08-18,Rowan County,Morgan County,54,36,0,,0,0,146,178
2017-08-18,Scott County,North Bullitt,56,19,1,,0,0,153,184
2017-08-18,Shelby Valley,Jenkins,66,0,1,,0,0,108,188
2017-08-18,Sheldon Clark,Betsy Layne,26,24,0,,0,0,18,189
