name,region,id,rating,massey,colley,elo,wins,losses,games_played
Evarts,4,206,391.09,1106.83,46.1,20.32,6,4,10
Highlands,3,2,97.53,90.51,102.87,99.22,14,1,13
St. Xavier,2,102,90.67,77.63,96.56,97.83,14,1,15
Boyle County,3,1,89.38,67.9,103.61,96.64,15,0,15
Bryan Station,3,3,87.58,85.42,93.81,83.51,13,2,15
Henry Clay,3,8,81.41,85.89,87.29,71.06,10,2,12
Male,2,103,81.21,71.25,88.14,84.23,11,2,13
Lexington Catholic,3,7,78.72,65.73,89.57,80.87,11,2,13
Beechwood,3,4,78.4,62.96,84.78,87.45,13,2,14
Lawrence County,4,158,76.89,69.26,81.89,79.51,12,2,13
Trinity (Louisville),3,6,75.57,68.23,82.98,75.51,11,2,12
Owensboro,1,54,75.56,62.16,82.65,81.87,13,2,15
Franklin-Simpson,1,57,75.18,63.44,84.71,77.39,11,2,12
Dixie Heights,3,9,74.7,76.26,79.78,68.06,10,3,13
Hancock County,1,56,74.2,63.35,80.88,78.38,12,3,15
Tates Creek,4,164,73.64,60.28,84.3,76.35,11,3,14
Hopkinsville,1,55,73.16,65.33,80.46,73.71,12,2,13
Nelson County,2,105,71.46,56.84,78.45,79.09,10,2,12
Pikeville,4,157,70.67,57.32,77,77.68,12,2,14
Campbellsville,2,107,69.47,60.23,75.7,72.5,10,2,12
Bellevue,3,5,68.75,57.25,80.51,68.48,12,1,12
Mayfield,1,60,68.26,57.91,74.28,72.59,9,4,12
Middlesboro,4,163,67.97,48.54,74.62,80.76,11,3,14
Sheldon Clark,4,159,67.1,57.19,72.48,71.63,11,1,11
South Laurel,4,161,66.6,59.44,75.39,64.96,11,2,13
Bowling Green,1,65,66.41,63.77,70.26,65.21,8,4,12
Taylor County,2,104,66.22,54.8,73.85,70,11,3,14
Harrodsburg,2,111,66.01,51.88,77.15,69,9,3,12
Bell County,4,167,65.57,58.69,72.02,65.99,9,3,11
Rockcastle County,4,165,65.53,59.6,72.83,64.15,10,3,13
Glasgow,1,58,65.03,55.73,67.45,71.9,11,4,15
Newport,3,10,65.01,54.07,75.59,65.37,9,2,11
Breathitt County,4,162,64.67,49.43,71.16,73.43,11,2,13
LaRue County,2,106,64.42,55.03,70.08,68.16,10,2,12
Pleasure Ridge Park,2,117,64.16,58.78,67.65,66.04,8,4,12
Fern Creek,3,17,63.75,62.23,69.64,59.38,8,4,11
Corbin,2,113,63.61,57.55,68.5,64.79,9,4,13
Oldham County,2,115,63.11,54.84,68.19,66.3,8,3,11
Southwestern,2,109,62.65,55.67,69.5,62.77,9,2,11
Madison Central,4,170,62.57,59.26,68.02,60.44,8,4,12
Paul Laurence Dunbar,4,175,62.28,63.5,66.5,56.84,7,5,12
