name,region,rating,wins,losses,massey,colley,elo
Trinity (Louisville),4,97.25,13,0,88.95,100.28,102.52
Boyle County,3,95.64,15,0,82.38,95.93,108.61
Male,4,92.53,13,2,83.95,97.34,96.32
Bardstown,2,89.02,15,0,79.07,90.86,97.15
Danville,1,88.07,13,2,75.62,89.05,99.53
Hopkinsville,3,81.8,12,2,75.19,81.32,88.89
Owensboro,4,81.33,11,3,74.92,84.41,84.66
Rockcastle County,3,81.2,14,1,69.84,82.83,90.93
Meade County,4,80.29,11,2,79.57,83.38,77.92
St. Xavier,4,80.24,9,2,80.77,83.36,76.59
Henry Clay,4,79.23,10,3,75.82,84.09,77.78
Highlands,3,78.61,9,3,75.42,77.47,82.94
Newport Central Catholic,1,76.91,13,2,70.08,77.63,83.02
Pleasure Ridge Park,4,76.19,10,2,76.13,81.16,71.27
DuPont Manual,4,75.7,9,2,78.16,80.27,68.68
Tates Creek,4,75.38,10,4,69.83,80.13,76.18
Prestonsburg,2,74.63,13,2,62.51,79.84,81.53
LaRue County,2,74.48,11,2,69,78.32,76.13
Covington Catholic,3,73.72,9,5,73.64,76.52,70.98
Corbin,2,73.34,11,1,65.03,76.45,78.55
Mason County,2,73.16,12,2,64.54,79.35,75.6
North Hardin,4,73.16,9,3,72.11,77.56,69.81
Oldham County,4,72.74,9,4,70.62,77.57,70.03
Lexington Catholic,3,72.2,2,11,77.73,68.09,70.79
Bowling Green,3,72.05,10,3,68.89,73.6,73.65
Glasgow,2,71.5,12,2,63.3,71.51,79.71
Paul Laurence Dunbar,4,71.43,8,3,71.45,75.86,66.97
Scott County,4,70.74,9,3,70.77,77.24,64.22
Whitley County,4,70.73,9,2,67.5,72.98,71.71
Lawrence County,3,70.59,11,1,64.95,73.97,72.85
Central,3,70.46,9,4,72.31,71.08,67.98
Fleming County,2,70.23,11,2,64.94,75.38,70.37
Mayfield,1,70.16,8,6,67.79,66.36,76.32
Apollo,4,69.81,9,4,70.2,72.45,66.77
Somerset,1,68.37,9,3,62.12,72.07,70.93
Beechwood,1,67.57,9,4,65.6,66.52,70.58
Paintsville,1,67.52,11,3,55.02,71.86,75.69
Henderson County,4,67.1,9,3,73.22,71.61,56.46
Holy Cross (Louisville),1,66.61,11,2,59.82,71.76,68.26
Ballard Memorial,1,66,11,2,62.16,69.64,66.19
