name,rating,wins,losses,massey,colley,elo
Bowling Green,98.9278924272445,15,0,93.5188785947636,98.996532787137,104.268265899833
Trinity (Louisville),96.8572250908099,15,0,100.794103378436,97.4507085398251,92.3268633541689
Belfry,94.338046317558,14,1,89.3898285270471,94.8155696768544,98.8087407487724
St. Xavier,92.2967397815847,10,3,91.0242502059121,95.9297096506686,89.9362594881734
Scott County,89.6966127847232,11,3,87.7019124157977,91.4484306480946,89.9394952902774
Lafayette,89.2204404107863,13,1,83.1258101644828,91.1225144573849,93.412996610491
Johnson Central,87.9815635939818,14,1,87.9302267221855,86.120499818434,89.8939642413258
Franklin-Simpson,86.9048254889422,14,0,78.4797217610672,90.6476844309153,91.5870702748441
Ryle,86.6878696110219,12,1,86.8456174612841,88.7109491671462,84.5070422046355
Male,85.1141124025563,10,3,89.4368240504817,82.5018880465561,83.403625110631
Corbin,83.4112705905689,12,1,77.3865858460206,88.5724963370758,84.2747295886104
Mayfield,82.9511083806258,13,1,79.3522373669085,80.6158452895257,88.8852424854432
Simon Kenton,82.8183347622816,11,2,86.2328199591974,81.0070176486096,81.2151666790376
Christian Academy-Louisville,82.2893848783033,14,1,77.6134957041554,80.8502805244299,88.4043784063246
Pulaski County,81.0169801066339,12,2,69.5993237876102,85.0263002407815,88.42531629151
Danville,80.3526825162248,12,2,71.6190580428469,82.3906260863039,87.0483634195237
Paintsville,79.8849432806631,13,1,66.4785771181472,84.7164613319467,88.4597913918954
DuPont Manual,78.461427101246,9,3,81.7076988697546,81.8730655110886,71.8035169228947
Beechwood,77.6982762009113,14,1,70.1452661915669,76.4424742317634,86.5070881794034
Lexington Christian,77.641801762284,12,1,70.0201259074444,84.1218546427737,78.783424736634
Owensboro,77.336973183142,10,3,73.3617161645376,77.9233366716747,80.7258667132138
Owensboro Catholic,75.8163380936899,11,1,68.7108106712186,80.2937210982281,78.4444825116229
Christian County,75.0940897469922,9,3,80.2012500012739,75.278644738281,69.8023745014216
Central,75.0576756254308,9,5,72.4256082812377,73.4245832510405,79.3228353440143
Wayne County,74.5262565870697,11,2,70.9325721147021,77.7202639861487,74.9259336603585
Conner,73.5360446249781,9,3,79.2561870171315,72.2393356920259,69.1126111657771
South Warren,73.1836850804971,9,4,71.3616224191695,71.1228548783887,77.0665779439332
DeSales,73.0465997136529,10,3,76.9984542383564,71.9118643696021,70.2294805330003
Pleasure Ridge Park,72.8530858497065,7,5,85.5120637888302,70.8438285800854,62.2033651802038
Covington Catholic,72.6092513375791,9,4,80.9785527327013,71.8480373637556,65.0011639162804
Shelby County,72.4533596686208,11,2,69.6843763254903,70.5033423487958,77.1723603315763
Fern Creek,72.1152473131033,11,3,72.8709037834453,69.4680192126828,74.006818943182
South Oldham,71.8418706351815,12,2,69.1824640160886,72.8193466403864,73.5238012490695
