Rank,Class,Name,Rating,InState,Total,
1,6,Male,93.73,11-0,12-0,
2,5,Covington Catholic,90.3,11-0,12-0,
3,4,Boyle County,88.4,12-0,12-0,
4,6,Trinity,88.26,6-1,10-2,
5,6,North Hardin,88.2,12-0,12-0,
6,4,Johnson Central,86.26,9-0,12-0,
7,5,South Oldham,84.6,11-1,11-1,
8,5,Frederick Douglass,83.33,12-0,12-0,
9,2,Somerset,82.29,11-1,11-1,
10,5,Owensboro,82.13,11-0,11-1,
11,3,Ashland Blazer,80.43,8-0,10-2,
12,6,St. Xavier,80.28,8-3,8-4,
13,2,Mayfield,79.9,10-1,11-1,
14,4,Wayne County,79.52,10-1,10-1,
15,1,Pikeville,78.29,9-0,11-0,
16,5,South Warren,77.41,10-2,10-2,
17,5,Scott County,77.1,9-2,10-2,
18,3,Russell,76.98,9-2,9-3,
19,3,Bell County,76.44,12-0,12-0,
20,2,Lexington Christian,76.02,9-2,10-2,
21,6,DuPont Manual,74.91,9-3,9-3,
22,6,Simon Kenton,74.46,7-2,8-4,
23,4,Franklin County,74.18,11-1,11-1,
24,5,Bowling Green,74.09,8-2,8-3,
25,1,Kentucky Country Day,73.3,12-0,12-0,
26,3,Belfry,72.1,8-2,8-3,
27,6,Central Hardin,71.26,9-3,9-3,
28,6,Fern Creek,71.15,7-4,8-4,
29,3,DeSales,70.83,9-3,9-3,
30,4,Madisonville-North Hopkins,70.2,10-2,10-2,
31,3,Bardstown,70.12,10-2,10-2,
32,6,McCracken County,70.05,8-3,9-3,
33,1,Newport Central Catholic,68.73,10-1,10-2,
34,3,Glasgow,68.43,10-2,10-2,
35,2,Breathitt County,67.9,12-0,12-0,
36,3,Taylor County,67.84,10-2,10-2,
37,6,Tates Creek,67.16,8-4,8-4,
38,5,Highlands,66.77,6-4,6-5,
39,4,Central,66.53,7-5,7-5,
40,1,Paintsville,66.42,8-3,9-3,
41,1,Williamsburg,66.06,9-2,10-2,
42,4,Lexington Catholic,66.04,6-5,7-5,
43,3,Elizabethtown,65.98,9-3,9-3,
44,3,Paducah Tilghman,65.92,9-3,9-3,
45,5,Conner,65.83,8-4,8-4,
46,2,Beechwood,65.7,7-4,7-5,
47,6,Ballard,64.98,6-6,6-6,
48,6,Oldham County,64.68,8-4,8-4,
49,3,Christian Academy-Louisville,64.44,7-5,7-5,
50,5,Fairdale,63.88,11-1,11-1,
51,2,Shelby Valley,63.8,9-2,9-3,
52,3,Fleming County,63.49,10-2,10-2,
53,1,Holy Cross - Louisville,63.01,9-2,10-2,
54,5,Pulaski County,62.52,7-4,7-4,
55,2,West Carter,62.36,9-3,9-3,
56,3,Mercer County,61.74,8-3,8-3,
57,4,Harlan County,61.67,8-4,8-4,
58,5,East Jessamine,61.6,9-3,9-3,
59,6,Henderson County,61.51,6-4,8-4,
60,4,Scott,61.34,8-3,8-4,
61,4,Logan County,61.24,8-3,8-3,
62,4,Corbin,60.37,5-5,6-5,
63,4,Hopkinsville,60.23,7-4,8-4,
64,2,Caldwell County,60.09,8-3,8-3,
65,3,Rockcastle County,59.61,8-4,8-4,
66,5,Cooper,59.26,5-6,5-6,
67,2,Murray,59.04,8-4,8-4,
68,6,Ryle,58.88,5-5,5-6,
69,5,Southwestern,58.8,7-5,7-5,
70,6,George Rogers Clark,58.16,7-5,7-5,
71,5,Graves County,58.06,7-5,7-5,
72,2,Owensboro Catholic,58,8-3,9-3,
73,1,Raceland,57.86,6-5,7-5,
74,5,Whitley County,57.01,7-4,8-4,
75,2,Walton-Verona,56.79,8-3,8-4,
76,1,Eminence,56.54,9-3,9-3,
77,4,Franklin-Simpson,56.54,7-4,7-5,
78,4,Shelby County,56.49,6-5,6-5,
79,1,Crittenden County,56.23,10-2,10-2,
80,5,Madison Southern,55.88,7-5,7-5,
81,6,Bullitt East,55.49,5-6,5-6,
82,1,Hazard,55.3,7-5,7-5,
83,6,Butler,54.94,4-7,4-7,
84,5,North Bullitt,54.83,7-5,7-5,
85,3,East Carter,54.8,6-4,7-4,
86,6,Dixie Heights,54.44,5-7,5-7,
87,2,Newport,54.23,8-4,8-4,
88,4,Moore,54.11,8-4,8-4,
89,4,Holmes,53.93,8-4,8-4,
90,2,Lloyd Memorial,53.83,6-5,6-5,
91,3,Pike County Central,53.14,7-4,8-4,
92,6,Paul Laurence Dunbar,52.95,7-5,7-5,
93,1,Bethlehem,52.4,8-2,8-3,
94,4,Waggener,52.1,5-6,5-6,
95,6,Daviess County,51.84,5-6,5-6,
96,3,Greenup County,50.94,3-5,4-7,
97,2,Martin County,50.88,7-4,7-4,
98,2,McLean County,50.74,8-4,8-4,
99,6,Barren County,50.49,6-5,6-5,
100,4,Clay County,50.41,7-4,7-4,
101,2,Danville,50.18,3-7,3-7,
102,1,Ludlow,49.64,8-4,8-4,
103,4,Anderson County,49.59,4-7,4-7,
104,1,Campbellsville,49.37,6-5,6-5,
105,1,Nicholas County,49.37,9-3,9-3,
106,5,Grayson County,48.92,7-4,7-4,
107,6,Meade County,48.9,4-7,4-7,
108,3,Union County,48.06,6-6,6-6,
109,2,Middlesboro,47.92,8-4,8-4,
110,4,Knox Central,47.55,3-7,3-8,
111,5,North Laurel,47.52,5-6,5-6,
112,2,Washington County,47.26,5-6,5-6,
113,6,Apollo,47.04,4-7,4-7,
114,3,Trigg County,46.61,6-5,6-5,
115,3,LaRue County,46.4,5-6,5-6,
116,5,Woodford County,46.24,6-5,6-5,
117,6,Eastern,46.12,3-8,3-8,
118,3,Mason County,45.58,6-6,6-6,
119,5,Bullitt Central,45.36,5-7,5-7,
120,3,Casey County,45.16,5-6,5-6,
121,5,Greenwood,45.1,5-6,5-6,
122,4,Rowan County,45.03,6-5,6-5,
123,4,John Hardin,44.36,5-7,5-7,
124,1,Pineville,43.75,7-3,8-3,
125,3,Lawrence County,43.64,4-7,4-7,
126,4,Letcher County Central,43.22,4-6,4-7,
127,4,Bourbon County,43.17,4-7,4-7,
128,4,Lincoln County,42.95,3-8,3-8,
129,3,Estill County,42.94,5-6,5-6,
130,4,Allen County-Scottsville,42.9,5-7,5-7,
131,5,Montgomery County,42.11,3-8,3-8,
132,6,Southern,41.62,4-7,4-7,
133,2,Clinton County,41.6,6-3,7-4,
